name,source,type,category,power,accuracy,pp
Pound,nature,normal,physical,40,100,35
Play Nice,nature,normal,other,--,101,20
Aqua Ring,lv. 5,water,other,--,101,20
Aqua Jet,lv. 9,water,physical,40,100,20
Helping Hand,lv. 13,normal,other,--,101,20
Wide Guard,lv. 13,rock,other,--,101,10
Protect,lv. 21,normal,other,--,101,10
Water Pulse,lv. 25,water,special,60,100,20
Healing Wish,lv. 29,psychic,other,--,101,10
Soak,lv. 33,water,other,--,100,20
Wish,lv. 37,normal,other,--,101,10
Brine,lv. 41,water,special,65,100,10
Safeguard,lv. 45,normal,other,--,101,25
Whirlpool,lv. 49,water,special,35,85,15
Hydro Pump,lv. 55,water,special,110,80,5
Take Down,TM001,normal,physical,90,85,20
Protect,TM007,normal,other,--,101,10
Water Pulse,TM011,water,special,60,100,20
Acrobatics,TM014,flying,physical,55,100,15
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Icy Wind,TM034,ice,special,55,95,15
Endure,TM047,normal,other,--,101,10
Rain Dance,TM050,water,other,--,101,5
Snowscape,TM052,ice,other,--,101,10
Zen Headbutt,TM059,psychic,physical,80,90,15
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Light Screen,TM075,psychic,other,--,101,30
Waterfall,TM077,water,physical,80,100,15
Rest,TM085,psychic,other,--,101,5
Skill Swap,TM098,psychic,other,--,101,10
Substitute,TM103,normal,other,--,101,10
Liquidation,TM110,water,physical,85,100,10
Shadow Ball,TM114,ghost,special,80,100,15
Psychic,TM120,psychic,special,90,100,10
Surf,TM123,water,special,90,100,15
Play Rough,TM127,fairy,physical,90,90,10
Calm Mind,TM129,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Baton Pass,TM132,normal,other,--,101,40
Ice Beam,TM135,ice,special,90,100,10
Misty Terrain,TM139,fairy,other,--,101,10
Hydro Pump,TM142,water,special,110,80,5
Blizzard,TM143,ice,special,110,70,5
Giga Impact,TM152,normal,physical,150,90,5
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Scald,TM188,water,special,80,100,15
Flip Turn,TM196,water,physical,60,100,20
Scale Shot,TM200,dragon,physical,25,90,20
Pain Split,TM202,normal,other,--,101,20
Whirlpool,TM208,water,special,35,85,15
Alluring Voice,TM227,fairy,special,80,100,10
