name,source,type,category,power,accuracy,pp
Thunder Punch,lv. Evolve,electric,physical,75,100,15
Fire Punch,nature,fire,physical,75,100,15
Tackle,nature,normal,physical,40,100,35
Growl,nature,normal,other,--,100,40
Thunder Shock,nature,electric,special,40,100,30
Thunder Wave,nature,electric,other,--,90,20
Dragon Pulse,nature,dragon,special,85,100,10
Magnetic Flux,nature,electric,other,--,101,20
Zap Cannon,nature,electric,special,120,50,5
Cotton Spore,lv. 11,grass,other,--,100,40
Charge,lv. 16,electric,other,--,101,20
Take Down,lv. 20,normal,physical,90,85,20
Electro Ball,lv. 25,electric,special,??,100,10
Confuse Ray,lv. 29,ghost,other,--,100,10
Power Gem,lv. 35,rock,special,80,100,20
Discharge,lv. 40,electric,special,80,100,15
Cotton Guard,lv. 46,grass,other,--,101,10
Dazzling Gleam,lv. 51,fairy,special,80,100,10
Light Screen,lv. 57,psychic,other,--,101,30
Thunder,lv. 62,electric,special,110,70,10
Take Down,TM001,normal,physical,90,85,20
Agility,TM004,psychic,other,--,101,30
Protect,TM007,normal,other,--,101,10
Low Kick,TM012,fighting,physical,??,100,20
Confuse Ray,TM017,ghost,other,--,100,10
Trailblaze,TM020,grass,physical,50,100,20
Charge Beam,TM023,electric,special,50,90,10
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Swift,TM032,normal,special,60,101,20
Fling,TM043,dark,physical,??,100,10
Dragon Tail,TM044,dragon,physical,60,90,10
Endure,TM047,normal,other,--,101,10
Volt Switch,TM048,electric,special,70,100,20
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Dig,TM055,ground,physical,80,100,10
Brick Break,TM058,fighting,physical,75,100,15
Body Slam,TM066,normal,physical,85,100,15
Fire Punch,TM067,fire,physical,75,100,15
Thunder Punch,TM068,electric,physical,75,100,15
Ice Punch,TM069,ice,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Electro Ball,TM072,electric,special,??,100,10
Reflect,TM074,psychic,other,--,101,20
Light Screen,TM075,psychic,other,--,101,30
Dazzling Gleam,TM079,fairy,special,80,100,10
Thunder Wave,TM082,electric,other,--,90,20
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Eerie Impulse,TM096,electric,other,--,100,15
Power Gem,TM101,rock,special,80,100,20
Substitute,TM103,normal,other,--,101,10
Dragon Pulse,TM115,dragon,special,85,100,10
Thunderbolt,TM126,electric,special,90,100,15
Helping Hand,TM130,normal,other,--,101,20
Electric Terrain,TM136,electric,other,--,101,10
Wild Charge,TM147,electric,physical,90,100,15
Giga Impact,TM152,normal,physical,150,90,5
Outrage,TM156,dragon,physical,120,100,10
Focus Blast,TM158,fighting,special,120,70,5
Hyper Beam,TM163,normal,special,150,90,5
Thunder,TM166,electric,special,110,70,10
Tera Blast,TM171,normal,special,80,100,10
Roar,TM172,normal,other,--,101,20
Charge,TM173,electric,other,--,101,20
Focus Punch,TM192,fighting,physical,150,100,20
Double-Edge,TM204,normal,physical,120,100,15
Endeavor,TM205,normal,physical,??,100,5
Supercell Slam,TM210,electric,physical,100,95,15
Electroweb,TM211,electric,special,55,95,15
Meteor Beam,TM220,rock,special,120,90,10
Breaking Swipe,TM222,dragon,physical,60,100,15
Dragon Cheer,TM226,dragon,other,--,101,15
