name,source,type,category,power,accuracy,pp
Headbutt,lv. Evolve,normal,physical,70,100,15
Astonish,nature,ghost,physical,30,100,15
Growth,nature,normal,other,--,101,20
Recycle,nature,normal,other,--,101,10
Withdraw,nature,water,other,--,101,40
Sweet Scent,nature,normal,other,--,100,20
Curse,lv. 4,ghost,other,--,101,10
Stomp,lv. 8,normal,physical,65,100,20
Leech Seed,lv. 12,grass,other,--,90,10
Protect,lv. 16,normal,other,--,101,10
Bullet Seed,lv. 20,grass,physical,25,100,30
Recover,lv. 24,normal,other,--,101,5
Apple Acid,lv. 28,grass,special,80,100,10
Body Slam,lv. 32,normal,physical,85,100,15
Iron Defense,lv. 36,steel,other,--,101,15
Dragon Pulse,lv. 40,dragon,special,85,100,10
Energy Ball,lv. 44,grass,special,90,100,10
Take Down,TM001,normal,physical,90,85,20
Protect,TM007,normal,other,--,101,10
Trailblaze,TM020,grass,physical,50,100,20
Pounce,TM021,bug,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Magical Leaf,TM033,grass,special,60,101,20
Dragon Tail,TM044,dragon,physical,60,90,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Bullet Seed,TM056,grass,physical,25,100,30
Zen Headbutt,TM059,psychic,physical,80,90,15
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Reflect,TM074,psychic,other,--,101,20
Light Screen,TM075,psychic,other,--,101,30
Grass Knot,TM081,grass,special,??,100,20
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Body Press,TM089,fighting,physical,80,100,10
Iron Head,TM099,steel,physical,80,100,15
Substitute,TM103,normal,other,--,101,10
Iron Defense,TM104,steel,other,--,101,15
Giga Drain,TM111,grass,special,75,100,10
Dragon Pulse,TM115,dragon,special,85,100,10
Energy Ball,TM119,grass,special,90,100,10
Heavy Slam,TM121,steel,physical,??,100,10
Amnesia,TM128,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Grassy Terrain,TM137,grass,other,--,101,10
Earthquake,TM149,ground,physical,100,100,10
Giga Impact,TM152,normal,physical,150,90,5
Outrage,TM156,dragon,physical,120,100,10
Leaf Storm,TM159,grass,special,130,90,5
Hyper Beam,TM163,normal,special,150,90,5
Solar Beam,TM168,grass,special,120,100,10
Draco Meteor,TM169,dragon,special,130,90,5
Tera Blast,TM171,normal,special,80,100,10
Gyro Ball,TM180,steel,physical,??,100,5
High Horsepower,TM186,ground,physical,95,95,10
Grassy Glide,TM194,grass,physical,55,100,20
Curse,TM224,ghost,other,--,101,10
