name,source,type,category,power,accuracy,pp
Tail Whip,nature,normal,other,--,100,30
Water Gun,nature,water,special,40,100,25
Splash,nature,normal,other,--,101,40
Helping Hand,lv. 3,normal,other,--,101,20
Bubble Beam,lv. 6,water,special,65,100,20
Charm,lv. 9,fairy,other,--,100,20
Slam,lv. 12,normal,physical,80,75,20
Bounce,lv. 15,flying,physical,85,85,5
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Fake Tears,TM003,dark,other,--,100,20
Mud-Slap,TM005,ground,special,20,100,10
Protect,TM007,normal,other,--,101,10
Facade,TM025,normal,physical,70,100,20
Icy Wind,TM034,ice,special,55,95,15
Mud Shot,TM035,ground,special,55,95,15
Draining Kiss,TM037,fairy,special,50,100,10
Endure,TM047,normal,other,--,101,10
Rain Dance,TM050,water,other,--,101,5
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Light Screen,TM075,psychic,other,--,101,30
Waterfall,TM077,water,physical,80,100,15
Rest,TM085,psychic,other,--,101,5
Substitute,TM103,normal,other,--,101,10
Hyper Voice,TM117,normal,special,90,100,10
Encore,TM122,normal,other,--,100,5
Surf,TM123,water,special,90,100,15
Helping Hand,TM130,normal,other,--,101,20
Ice Beam,TM135,ice,special,90,100,10
Blizzard,TM143,ice,special,110,70,5
Tera Blast,TM171,normal,special,80,100,10
Alluring Voice,TM227,fairy,special,80,100,10
