name,source,type,category,power,accuracy,pp
Leer,nature,normal,other,--,100,30
Ember,nature,fire,special,40,100,25
Bite,lv. 5,dark,physical,60,100,25
Dragon Breath,lv. 10,dragon,special,60,100,20
Headbutt,lv. 15,normal,physical,70,100,15
Scary Face,lv. 20,normal,other,--,100,10
Crunch,lv. 25,dark,physical,80,100,15
Dragon Claw,lv. 31,dragon,physical,80,100,15
Zen Headbutt,lv. 35,psychic,physical,80,90,15
Focus Energy,lv. 40,normal,other,--,101,30
Flamethrower,lv. 45,fire,special,90,100,15
Outrage,lv. 50,dragon,physical,120,100,10
Double-Edge,lv. 55,normal,physical,120,100,15
Take Down,TM001,normal,physical,90,85,20
Mud-Slap,TM005,ground,special,20,100,10
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Fire Fang,TM008,fire,physical,65,95,15
Thunder Fang,TM009,electric,physical,65,95,15
Fire Spin,TM024,fire,special,35,85,15
Facade,TM025,normal,physical,70,100,20
Rock Tomb,TM036,rock,physical,60,95,15
Dragon Tail,TM044,dragon,physical,60,90,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Brick Break,TM058,fighting,physical,75,100,15
Zen Headbutt,TM059,psychic,physical,80,90,15
Shadow Claw,TM061,ghost,physical,70,100,15
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Dragon Claw,TM078,dragon,physical,80,100,15
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Iron Head,TM099,steel,physical,80,100,15
Dragon Dance,TM100,dragon,other,--,101,20
Substitute,TM103,normal,other,--,101,10
Iron Defense,TM104,steel,other,--,101,15
Crunch,TM108,dark,physical,80,100,15
Dragon Pulse,TM115,dragon,special,85,100,10
Hyper Voice,TM117,normal,special,90,100,10
Flamethrower,TM125,fire,special,90,100,15
Helping Hand,TM130,normal,other,--,101,20
Fire Blast,TM141,fire,special,110,85,5
Hydro Pump,TM142,water,special,110,80,5
Outrage,TM156,dragon,physical,120,100,10
Draco Meteor,TM169,dragon,special,130,90,5
Tera Blast,TM171,normal,special,80,100,10
Roar,TM172,normal,other,--,101,20
Double-Edge,TM204,normal,physical,120,100,15
Dragon Cheer,TM226,dragon,other,--,101,15
