name,source,type,category,power,accuracy,pp
Water Gun,nature,water,special,40,100,25
Mud-Slap,nature,ground,special,20,100,10
Rest,lv. 6,psychic,other,--,101,5
Snore,lv. 6,normal,special,50,100,15
Water Pulse,lv. 12,water,special,60,100,20
Amnesia,lv. 18,psychic,other,--,101,20
Aqua Tail,lv. 24,water,physical,90,90,10
Muddy Water,lv. 31,water,special,90,85,10
Earthquake,lv. 36,ground,physical,100,100,10
Future Sight,lv. 42,psychic,special,120,100,10
Fissure,lv. 48,ground,physical,??,30,5
Take Down,TM001,normal,physical,90,85,20
Mud-Slap,TM005,ground,special,20,100,10
Protect,TM007,normal,other,--,101,10
Water Pulse,TM011,water,special,60,100,20
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Swift,TM032,normal,special,60,101,20
Icy Wind,TM034,ice,special,55,95,15
Mud Shot,TM035,ground,special,55,95,15
Rock Tomb,TM036,rock,physical,60,95,15
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Sandstorm,TM051,rock,other,--,101,10
Zen Headbutt,TM059,psychic,physical,80,90,15
Sleep Talk,TM070,normal,other,--,101,10
Waterfall,TM077,water,physical,80,100,15
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Dragon Dance,TM100,dragon,other,--,101,20
Substitute,TM103,normal,other,--,101,10
Liquidation,TM110,water,physical,85,100,10
Stealth Rock,TM116,rock,other,--,101,20
Surf,TM123,water,special,90,100,15
Amnesia,TM128,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Earth Power,TM133,ground,special,90,100,10
Ice Beam,TM135,ice,special,90,100,10
Hydro Pump,TM142,water,special,110,80,5
Blizzard,TM143,ice,special,110,70,5
Earthquake,TM149,ground,physical,100,100,10
Stone Edge,TM150,rock,physical,100,80,5
Outrage,TM156,dragon,physical,120,100,10
Tera Blast,TM171,normal,special,80,100,10
High Horsepower,TM186,ground,physical,95,95,10
Double-Edge,TM204,normal,physical,120,100,15
Whirlpool,TM208,water,special,35,85,15
Muddy Water,TM209,water,special,90,85,10
Future Sight,TM217,psychic,special,120,100,10
