name,source,type,category,power,accuracy,pp
Tail Whip,nature,normal,other,--,100,30
Water Gun,nature,water,special,40,100,25
Tackle,lv. 4,normal,physical,40,100,35
Flail,lv. 8,normal,physical,??,100,15
Aqua Jet,lv. 12,water,physical,40,100,20
Bite,lv. 16,dark,physical,60,100,25
Scary Face,lv. 20,normal,other,--,100,10
Headbutt,lv. 24,normal,physical,70,100,15
Soak,lv. 28,water,other,--,100,20
Crunch,lv. 32,dark,physical,80,100,15
Take Down,lv. 36,normal,physical,90,85,20
Final Gambit,lv. 40,fighting,special,??,100,5
Wave Crash,lv. 44,water,physical,120,100,10
Thrash,lv. 48,normal,physical,120,100,10
Double-Edge,lv. 52,normal,physical,120,100,15
Head Smash,lv. 56,rock,physical,150,80,5
Take Down,TM001,normal,physical,90,85,20
Agility,TM004,psychic,other,--,101,30
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Ice Fang,TM010,ice,physical,65,95,15
Water Pulse,TM011,water,special,60,100,20
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Swift,TM032,normal,special,60,101,20
Icy Wind,TM034,ice,special,55,95,15
Mud Shot,TM035,ground,special,55,95,15
Endure,TM047,normal,other,--,101,10
Rain Dance,TM050,water,other,--,101,5
Snowscape,TM052,ice,other,--,101,10
Zen Headbutt,TM059,psychic,physical,80,90,15
Psychic Fangs,TM063,psychic,physical,85,100,10
Sleep Talk,TM070,normal,other,--,101,10
Waterfall,TM077,water,physical,80,100,15
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Substitute,TM103,normal,other,--,101,10
Crunch,TM108,dark,physical,80,100,15
Liquidation,TM110,water,physical,85,100,10
Surf,TM123,water,special,90,100,15
Reversal,TM134,fighting,physical,??,100,15
Ice Beam,TM135,ice,special,90,100,10
Hydro Pump,TM142,water,special,110,80,5
Blizzard,TM143,ice,special,110,70,5
Giga Impact,TM152,normal,physical,150,90,5
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Uproar,TM191,normal,special,90,100,10
Flip Turn,TM196,water,physical,60,100,20
Scale Shot,TM200,dragon,physical,25,90,20
Double-Edge,TM204,normal,physical,120,100,15
Endeavor,TM205,normal,physical,??,100,5
Whirlpool,TM208,water,special,35,85,15
Muddy Water,TM209,water,special,90,85,10
