name,source,type,category,power,accuracy,pp
Glaive Rush,lv. Evolve,dragon,physical,120,100,5
Snowscape,nature,ice,other,--,101,10
Breaking Swipe,nature,dragon,physical,60,100,15
Dragon Tail,nature,dragon,physical,60,90,10
Ice Shard,nature,ice,physical,40,100,30
Tackle,nature,normal,physical,40,100,35
Leer,nature,normal,other,--,100,30
Icy Wind,lv. 6,ice,special,55,95,15
Dragon Breath,lv. 12,dragon,special,60,100,20
Focus Energy,lv. 18,normal,other,--,101,30
Bite,lv. 24,dark,physical,60,100,25
Ice Fang,lv. 29,ice,physical,65,95,15
Dragon Claw,lv. 35,dragon,physical,80,100,15
Take Down,lv. 42,normal,physical,90,85,20
Ice Beam,lv. 48,ice,special,90,100,10
Crunch,lv. 55,dark,physical,80,100,15
Icicle Crash,lv. 62,ice,physical,85,90,10
Take Down,TM001,normal,physical,90,85,20
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Thunder Fang,TM009,electric,physical,65,95,15
Ice Fang,TM010,ice,physical,65,95,15
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Bulldoze,TM028,ground,physical,60,100,20
Icy Wind,TM034,ice,special,55,95,15
Dragon Tail,TM044,dragon,physical,60,90,10
Avalanche,TM046,ice,physical,60,100,10
Endure,TM047,normal,other,--,101,10
Rain Dance,TM050,water,other,--,101,5
Snowscape,TM052,ice,other,--,101,10
Dig,TM055,ground,physical,80,100,10
False Swipe,TM057,normal,physical,40,100,40
Brick Break,TM058,fighting,physical,75,100,15
Zen Headbutt,TM059,psychic,physical,80,90,15
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Dragon Claw,TM078,dragon,physical,80,100,15
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Swords Dance,TM088,normal,other,--,101,20
Body Press,TM089,fighting,physical,80,100,10
Iron Head,TM099,steel,physical,80,100,15
Dragon Dance,TM100,dragon,other,--,101,20
Substitute,TM103,normal,other,--,101,10
Crunch,TM108,dark,physical,80,100,15
Dragon Pulse,TM115,dragon,special,85,100,10
Helping Hand,TM130,normal,other,--,101,20
Ice Beam,TM135,ice,special,90,100,10
Blizzard,TM143,ice,special,110,70,5
Earthquake,TM149,ground,physical,100,100,10
Giga Impact,TM152,normal,physical,150,90,5
Outrage,TM156,dragon,physical,120,100,10
Hyper Beam,TM163,normal,special,150,90,5
Draco Meteor,TM169,dragon,special,130,90,5
Tera Blast,TM171,normal,special,80,100,10
High Horsepower,TM186,ground,physical,95,95,10
Icicle Spear,TM187,ice,physical,25,100,30
Scale Shot,TM200,dragon,physical,25,90,20
Double-Edge,TM204,normal,physical,120,100,15
Breaking Swipe,TM222,dragon,physical,60,100,15
Dragon Cheer,TM226,dragon,other,--,101,15
