name,source,type,category,power,accuracy,pp
Icicle Crash,lv. Evolve,ice,physical,85,90,10
Endure,nature,normal,other,--,101,10
Growl,nature,normal,other,--,100,40
Fury Swipes,nature,normal,physical,18,80,15
Powder Snow,nature,ice,special,40,100,25
Charm,nature,fairy,other,--,100,20
Aqua Jet,nature,water,physical,40,100,20
Icy Wind,lv. 9,ice,special,55,95,15
Play Nice,lv. 12,normal,other,--,101,20
Brine,lv. 15,water,special,65,100,10
Frost Breath,lv. 18,ice,special,60,90,10
Slash,lv. 21,normal,physical,70,100,20
Flail,lv. 24,normal,physical,??,100,15
Swagger,lv. 27,normal,other,--,85,15
Snowscape,lv. 30,ice,other,--,101,10
Thrash,lv. 33,normal,physical,120,100,10
Rest,lv. 36,psychic,other,--,101,5
Blizzard,lv. 41,ice,special,110,70,5
Sheer Cold,lv. 46,ice,special,??,30,5
Superpower,lv. 51,fighting,physical,120,100,5
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Mud-Slap,TM005,ground,special,20,100,10
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Ice Fang,TM010,ice,physical,65,95,15
Water Pulse,TM011,water,special,60,100,20
Low Kick,TM012,fighting,physical,??,100,20
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Bulldoze,TM028,ground,physical,60,100,20
Snarl,TM030,dark,special,55,95,15
Metal Claw,TM031,steel,physical,50,95,35
Icy Wind,TM034,ice,special,55,95,15
Mud Shot,TM035,ground,special,55,95,15
Rock Tomb,TM036,rock,physical,60,95,15
Fling,TM043,dark,physical,??,100,10
Avalanche,TM046,ice,physical,60,100,10
Endure,TM047,normal,other,--,101,10
Rain Dance,TM050,water,other,--,101,5
Snowscape,TM052,ice,other,--,101,10
Dig,TM055,ground,physical,80,100,10
Brick Break,TM058,fighting,physical,75,100,15
Shadow Claw,TM061,ghost,physical,70,100,15
Bulk Up,TM064,fighting,other,--,101,20
Body Slam,TM066,normal,physical,85,100,15
Ice Punch,TM069,ice,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Grass Knot,TM081,grass,special,??,100,20
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Taunt,TM087,dark,other,--,100,20
Swords Dance,TM088,normal,other,--,101,20
Body Press,TM089,fighting,physical,80,100,10
Substitute,TM103,normal,other,--,101,10
X-Scissor,TM105,bug,physical,80,100,15
Crunch,TM108,dark,physical,80,100,15
Liquidation,TM110,water,physical,85,100,10
Heavy Slam,TM121,steel,physical,??,100,10
Encore,TM122,normal,other,--,100,5
Surf,TM123,water,special,90,100,15
Play Rough,TM127,fairy,physical,90,90,10
Reversal,TM134,fighting,physical,??,100,15
Ice Beam,TM135,ice,special,90,100,10
Blizzard,TM143,ice,special,110,70,5
Earthquake,TM149,ground,physical,100,100,10
Stone Edge,TM150,rock,physical,100,80,5
Giga Impact,TM152,normal,physical,150,90,5
Focus Blast,TM158,fighting,special,120,70,5
Hyper Beam,TM163,normal,special,150,90,5
Close Combat,TM167,fighting,physical,120,100,5
Tera Blast,TM171,normal,special,80,100,10
Roar,TM172,normal,other,--,101,20
Icicle Spear,TM187,ice,physical,25,100,30
Focus Punch,TM192,fighting,physical,150,100,20
Double-Edge,TM204,normal,physical,120,100,15
Endeavor,TM205,normal,physical,??,100,5
Throat Chop,TM221,dark,physical,80,100,15
Curse,TM224,ghost,other,--,101,10
Hard Press,TM225,steel,physical,??,100,10
