name,source,type,category,power,accuracy,pp
Harden,nature,normal,other,--,101,30
Rapid Spin,nature,normal,physical,50,100,40
Tackle,lv. 3,normal,physical,40,100,35
Powder Snow,lv. 6,ice,special,40,100,25
Curse,lv. 9,ghost,other,--,101,10
Icy Wind,lv. 12,ice,special,55,95,15
Protect,lv. 15,normal,other,--,101,10
Avalanche,lv. 18,ice,physical,60,100,10
Bite,lv. 21,dark,physical,60,100,25
Ice Fang,lv. 24,ice,physical,65,95,15
Iron Defense,lv. 27,steel,other,--,101,15
Recover,lv. 30,normal,other,--,101,5
Crunch,lv. 33,dark,physical,80,100,15
Take Down,lv. 36,normal,physical,90,85,20
Blizzard,lv. 39,ice,special,110,70,5
Double-Edge,lv. 42,normal,physical,120,100,15
Take Down,TM001,normal,physical,90,85,20
Protect,TM007,normal,other,--,101,10
Ice Fang,TM010,ice,physical,65,95,15
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Icy Wind,TM034,ice,special,55,95,15
Rock Tomb,TM036,rock,physical,60,95,15
Avalanche,TM046,ice,physical,60,100,10
Endure,TM047,normal,other,--,101,10
Rain Dance,TM050,water,other,--,101,5
Snowscape,TM052,ice,other,--,101,10
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Substitute,TM103,normal,other,--,101,10
Iron Defense,TM104,steel,other,--,101,15
Crunch,TM108,dark,physical,80,100,15
Ice Spinner,TM124,ice,physical,80,100,15
Ice Beam,TM135,ice,special,90,100,10
Blizzard,TM143,ice,special,110,70,5
Stone Edge,TM150,rock,physical,100,80,5
Tera Blast,TM171,normal,special,80,100,10
Gyro Ball,TM180,steel,physical,??,100,5
Icicle Spear,TM187,ice,physical,25,100,30
Double-Edge,TM204,normal,physical,120,100,15
Curse,TM224,ghost,other,--,101,10
