name,source,type,category,power,accuracy,pp
Superpower,lv. Evolve,fighting,physical,120,100,5
Wing Attack,nature,flying,physical,60,100,35
Leer,nature,normal,other,--,100,30
Peck,nature,flying,physical,35,100,35
Sky Attack,nature,flying,physical,140,90,5
Hone Claws,nature,dark,other,--,101,15
Tailwind,lv. 18,flying,other,--,101,15
Scary Face,lv. 24,normal,other,--,100,10
Aerial Ace,lv. 30,flying,physical,60,101,20
Slash,lv. 36,normal,physical,70,100,20
Whirlwind,lv. 42,normal,other,--,101,20
Crush Claw,lv. 48,normal,physical,75,95,10
Air Slash,lv. 57,flying,special,75,95,15
Defog,lv. 64,flying,other,--,101,15
Thrash,lv. 72,normal,physical,120,100,10
Take Down,TM001,normal,physical,90,85,20
Agility,TM004,psychic,other,--,101,30
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Acrobatics,TM014,flying,physical,55,100,15
Psybeam,TM016,psychic,special,65,100,20
Confuse Ray,TM017,ghost,other,--,100,10
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Snarl,TM030,dark,special,55,95,15
Metal Claw,TM031,steel,physical,50,95,35
Swift,TM032,normal,special,60,101,20
Icy Wind,TM034,ice,special,55,95,15
Rock Tomb,TM036,rock,physical,60,95,15
Air Cutter,TM040,flying,special,60,95,25
Stored Power,TM041,psychic,special,20,100,10
Night Shade,TM042,ghost,special,??,100,15
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Psyshock,TM054,psychic,special,80,100,10
Zen Headbutt,TM059,psychic,physical,80,90,15
U-turn,TM060,bug,physical,70,100,20
Shadow Claw,TM061,ghost,physical,70,100,15
Bulk Up,TM064,fighting,other,--,101,20
Air Slash,TM065,flying,special,75,95,15
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Dazzling Gleam,TM079,fairy,special,80,100,10
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Fly,TM097,flying,physical,90,95,15
Iron Head,TM099,steel,physical,80,100,15
Substitute,TM103,normal,other,--,101,10
Tailwind,TM113,flying,other,--,101,15
Shadow Ball,TM114,ghost,special,80,100,15
Hyper Voice,TM117,normal,special,90,100,10
Heat Wave,TM118,fire,special,95,90,10
Psychic,TM120,psychic,special,90,100,10
Calm Mind,TM129,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Reversal,TM134,fighting,physical,??,100,15
Psychic Terrain,TM138,psychic,other,--,101,10
Giga Impact,TM152,normal,physical,150,90,5
Hurricane,TM160,flying,special,110,70,10
Hyper Beam,TM163,normal,special,150,90,5
Brave Bird,TM164,flying,physical,120,100,15
Close Combat,TM167,fighting,physical,120,100,5
Tera Blast,TM171,normal,special,80,100,10
Vacuum Wave,TM184,fighting,special,40,100,30
Dual Wingbeat,TM197,flying,physical,40,90,10
Psych Up,TM203,normal,other,--,101,10
Double-Edge,TM204,normal,physical,120,100,15
Feather Dance,TM216,flying,other,--,100,15
Future Sight,TM217,psychic,special,120,100,10
Expanding Force,TM218,psychic,special,80,100,10
Psychic Noise,TM228,psychic,special,75,100,10
