name,source,type,category,power,accuracy,pp
Water Gun,nature,water,special,40,100,25
Astonish,lv. 4,ghost,physical,30,100,15
Confusion,lv. 9,psychic,special,50,100,25
Bite,lv. 12,dark,physical,60,100,25
Aqua Jet,lv. 17,water,physical,40,100,20
Disable,lv. 20,normal,other,--,100,20
Psyshock,lv. 25,psychic,special,80,100,10
Crunch,lv. 28,dark,physical,80,100,15
Aqua Tail,lv. 33,water,physical,90,90,10
Screech,lv. 36,normal,other,--,85,40
Psychic Fangs,lv. 41,psychic,physical,85,100,10
Wave Crash,lv. 44,water,physical,120,100,10
Take Down,TM001,normal,physical,90,85,20
Agility,TM004,psychic,other,--,101,30
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Ice Fang,TM010,ice,physical,65,95,15
Water Pulse,TM011,water,special,60,100,20
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Icy Wind,TM034,ice,special,55,95,15
Venoshock,TM045,poison,special,65,100,10
Endure,TM047,normal,other,--,101,10
Rain Dance,TM050,water,other,--,101,5
Psyshock,TM054,psychic,special,80,100,10
Psychic Fangs,TM063,psychic,physical,85,100,10
Bulk Up,TM064,fighting,other,--,101,20
Sleep Talk,TM070,normal,other,--,101,10
Reflect,TM074,psychic,other,--,101,20
Light Screen,TM075,psychic,other,--,101,30
Waterfall,TM077,water,physical,80,100,15
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Swords Dance,TM088,normal,other,--,101,20
Substitute,TM103,normal,other,--,101,10
Crunch,TM108,dark,physical,80,100,15
Liquidation,TM110,water,physical,85,100,10
Psychic,TM120,psychic,special,90,100,10
Surf,TM123,water,special,90,100,15
Calm Mind,TM129,psychic,other,--,101,20
Ice Beam,TM135,ice,special,90,100,10
Psychic Terrain,TM138,psychic,other,--,101,10
Hydro Pump,TM142,water,special,110,80,5
Blizzard,TM143,ice,special,110,70,5
Giga Impact,TM152,normal,physical,150,90,5
Trick Room,TM161,psychic,other,--,101,5
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Super Fang,TM183,normal,physical,??,90,10
Flip Turn,TM196,water,physical,60,100,20
Pain Split,TM202,normal,other,--,101,20
Whirlpool,TM208,water,special,35,85,15
Expanding Force,TM218,psychic,special,80,100,10
Psychic Noise,TM228,psychic,special,75,100,10
