name,source,type,category,power,accuracy,pp
Tackle,nature,normal,physical,40,100,35
Growl,lv. 4,normal,other,--,100,40
Soak,lv. 7,water,other,--,100,20
Quick Attack,lv. 11,normal,physical,40,100,30
Water Gun,lv. 15,water,special,40,100,25
Bite,lv. 18,dark,physical,60,100,25
Swift,lv. 21,normal,special,60,101,20
Aqua Jet,lv. 24,water,physical,40,100,20
Double Hit,lv. 27,normal,physical,35,90,10
Whirlpool,lv. 31,water,special,35,85,15
Liquidation,lv. 35,water,physical,85,100,10
Aqua Tail,lv. 38,water,physical,90,90,10
Agility,lv. 41,psychic,other,--,101,30
Hydro Pump,lv. 45,water,special,110,80,5
Wave Crash,lv. 49,water,physical,120,100,10
Take Down,TM001,normal,physical,90,85,20
Agility,TM004,psychic,other,--,101,30
Mud-Slap,TM005,ground,special,20,100,10
Protect,TM007,normal,other,--,101,10
Ice Fang,TM010,ice,physical,65,95,15
Water Pulse,TM011,water,special,60,100,20
Low Kick,TM012,fighting,physical,??,100,20
Thief,TM018,dark,physical,60,100,25
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Swift,TM032,normal,special,60,101,20
Icy Wind,TM034,ice,special,55,95,15
Rock Tomb,TM036,rock,physical,60,95,15
Low Sweep,TM039,fighting,physical,65,100,20
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Rain Dance,TM050,water,other,--,101,5
Dig,TM055,ground,physical,80,100,10
Brick Break,TM058,fighting,physical,75,100,15
Bulk Up,TM064,fighting,other,--,101,20
Ice Punch,TM069,ice,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Waterfall,TM077,water,physical,80,100,15
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Substitute,TM103,normal,other,--,101,10
Crunch,TM108,dark,physical,80,100,15
Liquidation,TM110,water,physical,85,100,10
Surf,TM123,water,special,90,100,15
Ice Spinner,TM124,ice,physical,80,100,15
Helping Hand,TM130,normal,other,--,101,20
Baton Pass,TM132,normal,other,--,101,40
Ice Beam,TM135,ice,special,90,100,10
Hydro Pump,TM142,water,special,110,80,5
Blizzard,TM143,ice,special,110,70,5
Tera Blast,TM171,normal,special,80,100,10
Roar,TM172,normal,other,--,101,20
Focus Punch,TM192,fighting,physical,150,100,20
Flip Turn,TM196,water,physical,60,100,20
Whirlpool,TM208,water,special,35,85,15
