name,source,type,category,power,accuracy,pp
Shadow Claw,lv. Evolve,ghost,physical,70,100,15
Leer,nature,normal,other,--,100,30
Ember,nature,fire,special,40,100,25
Astonish,nature,ghost,physical,30,100,15
Clear Smog,lv. 8,poison,special,50,101,15
Fire Spin,lv. 12,fire,special,35,85,15
Will-O-Wisp,lv. 16,fire,other,--,85,15
Night Shade,lv. 20,ghost,special,??,100,15
Flame Charge,lv. 24,fire,physical,50,100,20
Incinerate,lv. 28,fire,special,60,100,15
Lava Plume,lv. 32,fire,special,80,100,15
Swords Dance,lv. 37,normal,other,--,101,20
Ally Switch,lv. 42,psychic,other,--,101,15
Bitter Blade,lv. 48,fire,physical,90,100,10
Psycho Cut,lv. 56,psychic,physical,70,100,20
Flare Blitz,lv. 62,fire,physical,120,100,15
Take Down,TM001,normal,physical,90,85,20
Protect,TM007,normal,other,--,101,10
Confuse Ray,TM017,ghost,other,--,100,10
Fire Spin,TM024,fire,special,35,85,15
Facade,TM025,normal,physical,70,100,20
Hex,TM029,ghost,special,65,100,10
Flame Charge,TM038,fire,physical,50,100,20
Stored Power,TM041,psychic,special,20,100,10
Night Shade,TM042,ghost,special,??,100,15
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
False Swipe,TM057,normal,physical,40,100,40
Brick Break,TM058,fighting,physical,75,100,15
Shadow Claw,TM061,ghost,physical,70,100,15
Bulk Up,TM064,fighting,other,--,101,20
Sleep Talk,TM070,normal,other,--,101,10
Reflect,TM074,psychic,other,--,101,20
Light Screen,TM075,psychic,other,--,101,30
Dragon Claw,TM078,dragon,physical,80,100,15
Poison Jab,TM083,poison,physical,80,100,20
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Swords Dance,TM088,normal,other,--,101,20
Iron Head,TM099,steel,physical,80,100,15
Substitute,TM103,normal,other,--,101,10
Iron Defense,TM104,steel,other,--,101,15
X-Scissor,TM105,bug,physical,80,100,15
Will-O-Wisp,TM107,fire,other,--,85,15
Shadow Ball,TM114,ghost,special,80,100,15
Heat Wave,TM118,fire,special,95,90,10
Flamethrower,TM125,fire,special,90,100,15
Helping Hand,TM130,normal,other,--,101,20
Fire Blast,TM141,fire,special,110,85,5
Phantom Force,TM151,ghost,physical,90,100,10
Overheat,TM157,fire,special,130,90,5
Flare Blitz,TM165,fire,physical,120,100,15
Close Combat,TM167,fighting,physical,120,100,5
Tera Blast,TM171,normal,special,80,100,10
Spite,TM177,ghost,other,--,100,10
Vacuum Wave,TM184,fighting,special,40,100,30
Solar Blade,TM190,grass,physical,125,100,10
Poltergeist,TM198,ghost,physical,110,90,5
Psych Up,TM203,normal,other,--,101,10
Throat Chop,TM221,dark,physical,80,100,15
Curse,TM224,ghost,other,--,101,10
