name,source,type,category,power,accuracy,pp
Tackle,nature,normal,physical,40,100,35
Powder Snow,nature,ice,special,40,100,25
Growl,lv. 6,normal,other,--,100,40
Echoed Voice,lv. 9,normal,special,40,100,15
Ice Shard,lv. 12,ice,physical,40,100,30
Rest,lv. 15,psychic,other,--,101,5
Take Down,lv. 19,normal,physical,90,85,20
Flail,lv. 25,normal,physical,??,100,15
Avalanche,lv. 27,ice,physical,60,100,10
Bounce,lv. 31,flying,physical,85,85,5
Body Slam,lv. 36,normal,physical,85,100,15
Amnesia,lv. 40,psychic,other,--,101,20
Ice Spinner,lv. 44,ice,physical,80,100,15
Double-Edge,lv. 49,normal,physical,120,100,15
Blizzard,lv. 53,ice,special,110,70,5
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Protect,TM007,normal,other,--,101,10
Ice Fang,TM010,ice,physical,65,95,15
Water Pulse,TM011,water,special,60,100,20
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Icy Wind,TM034,ice,special,55,95,15
Avalanche,TM046,ice,physical,60,100,10
Endure,TM047,normal,other,--,101,10
Rain Dance,TM050,water,other,--,101,5
Snowscape,TM052,ice,other,--,101,10
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Body Press,TM089,fighting,physical,80,100,10
Substitute,TM103,normal,other,--,101,10
Liquidation,TM110,water,physical,85,100,10
Hyper Voice,TM117,normal,special,90,100,10
Heavy Slam,TM121,steel,physical,??,100,10
Ice Spinner,TM124,ice,physical,80,100,15
Play Rough,TM127,fairy,physical,90,90,10
Amnesia,TM128,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Ice Beam,TM135,ice,special,90,100,10
Blizzard,TM143,ice,special,110,70,5
Earthquake,TM149,ground,physical,100,100,10
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Knock Off,TM181,dark,physical,65,100,20
High Horsepower,TM186,ground,physical,95,95,10
Icicle Spear,TM187,ice,physical,25,100,30
Double-Edge,TM204,normal,physical,120,100,15
Curse,TM224,ghost,other,--,101,10
