name,source,type,category,power,accuracy,pp
Leer,nature,normal,other,--,100,30
Ember,nature,fire,special,40,100,25
Astonish,nature,ghost,physical,30,100,15
Clear Smog,lv. 8,poison,special,50,101,15
Fire Spin,lv. 12,fire,special,35,85,15
Will-O-Wisp,lv. 16,fire,other,--,85,15
Night Shade,lv. 20,ghost,special,??,100,15
Flame Charge,lv. 24,fire,physical,50,100,20
Incinerate,lv. 28,fire,special,60,100,15
Lava Plume,lv. 32,fire,special,80,100,15
Take Down,TM001,normal,physical,90,85,20
Protect,TM007,normal,other,--,101,10
Confuse Ray,TM017,ghost,other,--,100,10
Fire Spin,TM024,fire,special,35,85,15
Facade,TM025,normal,physical,70,100,20
Flame Charge,TM038,fire,physical,50,100,20
Night Shade,TM042,ghost,special,??,100,15
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Sleep Talk,TM070,normal,other,--,101,10
Rest,TM085,psychic,other,--,101,5
Substitute,TM103,normal,other,--,101,10
Will-O-Wisp,TM107,fire,other,--,85,15
Heat Wave,TM118,fire,special,95,90,10
Flamethrower,TM125,fire,special,90,100,15
Helping Hand,TM130,normal,other,--,101,20
Fire Blast,TM141,fire,special,110,85,5
Overheat,TM157,fire,special,130,90,5
Flare Blitz,TM165,fire,physical,120,100,15
Tera Blast,TM171,normal,special,80,100,10
Spite,TM177,ghost,other,--,100,10
