name,source,type,category,power,accuracy,pp
Icicle Spear,lv. Evolve,ice,physical,25,100,30
Icicle Crash,nature,ice,physical,85,90,10
Shell Smash,nature,normal,other,--,101,15
Ice Shard,nature,ice,physical,40,100,30
Toxic Spikes,nature,poison,other,--,101,20
Iron Defense,nature,steel,other,--,101,15
Whirlpool,nature,water,special,35,85,15
Spikes,nature,ground,other,--,101,20
Protect,nature,normal,other,--,101,10
Withdraw,nature,water,other,--,101,40
Aurora Beam,nature,ice,special,65,100,20
Ice Beam,nature,ice,special,90,100,10
Hydro Pump,nature,water,special,110,80,5
Water Gun,nature,water,special,40,100,25
Supersonic,nature,normal,other,--,55,20
Leer,nature,normal,other,--,100,30
Tackle,nature,normal,physical,40,100,35
Razor Shell,lv. 5,water,physical,75,95,10
Take Down,TM001,normal,physical,90,85,20
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Water Pulse,TM011,water,special,60,100,20
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Swift,TM032,normal,special,60,101,20
Icy Wind,TM034,ice,special,55,95,15
Mud Shot,TM035,ground,special,55,95,15
Avalanche,TM046,ice,physical,60,100,10
Endure,TM047,normal,other,--,101,10
Rain Dance,TM050,water,other,--,101,5
Snowscape,TM052,ice,other,--,101,10
Smart Strike,TM053,steel,physical,70,101,10
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Light Screen,TM075,psychic,other,--,101,30
Rock Blast,TM076,rock,physical,25,90,10
Waterfall,TM077,water,physical,80,100,15
Poison Jab,TM083,poison,physical,80,100,20
Rest,TM085,psychic,other,--,101,5
Spikes,TM090,ground,other,--,101,20
Toxic Spikes,TM091,poison,other,--,101,20
Substitute,TM103,normal,other,--,101,10
Iron Defense,TM104,steel,other,--,101,15
Drill Run,TM106,ground,physical,80,95,10
Liquidation,TM110,water,physical,85,100,10
Surf,TM123,water,special,90,100,15
Ice Spinner,TM124,ice,physical,80,100,15
Helping Hand,TM130,normal,other,--,101,20
Ice Beam,TM135,ice,special,90,100,10
Hydro Pump,TM142,water,special,110,80,5
Blizzard,TM143,ice,special,110,70,5
Giga Impact,TM152,normal,physical,150,90,5
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Icicle Spear,TM187,ice,physical,25,100,30
Weather Ball,TM193,normal,special,50,100,10
Whirlpool,TM208,water,special,35,85,15
