name,source,type,category,power,accuracy,pp
Ice Punch,lv. Evolve,ice,physical,75,100,15
Leer,nature,normal,other,--,100,30
Protect,nature,normal,other,--,101,10
Rock Smash,nature,fighting,physical,40,100,15
Bubble Beam,lv. 17,water,special,65,100,20
Brick Break,lv. 22,fighting,physical,75,100,15
Slam,lv. 25,normal,physical,80,75,20
Avalanche,lv. 29,ice,physical,60,100,10
Reversal,lv. 33,fighting,physical,??,100,15
Ice Hammer,lv. 37,ice,physical,100,90,10
Iron Defense,lv. 42,steel,other,--,101,15
Dynamic Punch,lv. 45,fighting,physical,100,50,5
Close Combat,lv. 49,fighting,physical,120,100,5
Take Down,TM001,normal,physical,90,85,20
Mud-Slap,TM005,ground,special,20,100,10
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Thief,TM018,dark,physical,60,100,25
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Swift,TM032,normal,special,60,101,20
Icy Wind,TM034,ice,special,55,95,15
Mud Shot,TM035,ground,special,55,95,15
Rock Tomb,TM036,rock,physical,60,95,15
Fling,TM043,dark,physical,??,100,10
Avalanche,TM046,ice,physical,60,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Snowscape,TM052,ice,other,--,101,10
Dig,TM055,ground,physical,80,100,10
Brick Break,TM058,fighting,physical,75,100,15
Zen Headbutt,TM059,psychic,physical,80,90,15
Bulk Up,TM064,fighting,other,--,101,20
Body Slam,TM066,normal,physical,85,100,15
Thunder Punch,TM068,electric,physical,75,100,15
Ice Punch,TM069,ice,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Drain Punch,TM073,fighting,physical,75,100,10
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Body Press,TM089,fighting,physical,80,100,10
Iron Head,TM099,steel,physical,80,100,15
Gunk Shot,TM102,poison,physical,120,80,5
Substitute,TM103,normal,other,--,101,10
Iron Defense,TM104,steel,other,--,101,15
Liquidation,TM110,water,physical,85,100,10
Ice Spinner,TM124,ice,physical,80,100,15
Amnesia,TM128,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Reversal,TM134,fighting,physical,??,100,15
Ice Beam,TM135,ice,special,90,100,10
Blizzard,TM143,ice,special,110,70,5
Earthquake,TM149,ground,physical,100,100,10
Giga Impact,TM152,normal,physical,150,90,5
Focus Blast,TM158,fighting,special,120,70,5
Hyper Beam,TM163,normal,special,150,90,5
Close Combat,TM167,fighting,physical,120,100,5
Tera Blast,TM171,normal,special,80,100,10
Knock Off,TM181,dark,physical,65,100,20
Focus Punch,TM192,fighting,physical,150,100,20
Endeavor,TM205,normal,physical,??,100,5
Coaching,TM213,fighting,other,--,101,10
Hard Press,TM225,steel,physical,??,100,10
Upper Hand,TM229,fighting,physical,65,100,15
