name,source,type,category,power,accuracy,pp
Tackle,nature,normal,physical,40,100,35
Growl,nature,normal,other,--,100,40
Rapid Spin,lv. 7,normal,physical,50,100,40
Taunt,lv. 11,dark,other,--,100,20
Breaking Swipe,lv. 14,dragon,physical,60,100,15
Quick Attack,lv. 18,normal,physical,40,100,30
Bite,lv. 23,dark,physical,60,100,25
U-turn,lv. 27,bug,physical,70,100,20
Shed Tail,lv. 31,normal,other,--,101,10
Dragon Claw,lv. 36,dragon,physical,80,100,15
Shift Gear,lv. 40,steel,other,--,101,10
Dragon Pulse,lv. 45,dragon,special,85,100,10
Double-Edge,lv. 51,normal,physical,120,100,15
Dragon Rush,lv. 57,dragon,physical,100,75,10
Take Down,TM001,normal,physical,90,85,20
Agility,TM004,psychic,other,--,101,30
Mud-Slap,TM005,ground,special,20,100,10
Protect,TM007,normal,other,--,101,10
Fire Fang,TM008,fire,physical,65,95,15
Thunder Fang,TM009,electric,physical,65,95,15
Acrobatics,TM014,flying,physical,55,100,15
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Mud Shot,TM035,ground,special,55,95,15
Dragon Tail,TM044,dragon,physical,60,90,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
U-turn,TM060,bug,physical,70,100,20
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Dragon Claw,TM078,dragon,physical,80,100,15
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Iron Head,TM099,steel,physical,80,100,15
Substitute,TM103,normal,other,--,101,10
Crunch,TM108,dark,physical,80,100,15
Dragon Pulse,TM115,dragon,special,85,100,10
Hyper Voice,TM117,normal,special,90,100,10
Ice Spinner,TM124,ice,physical,80,100,15
Thunderbolt,TM126,electric,special,90,100,15
Wild Charge,TM147,electric,physical,90,100,15
Giga Impact,TM152,normal,physical,150,90,5
Outrage,TM156,dragon,physical,120,100,10
Overheat,TM157,fire,special,130,90,5
Hyper Beam,TM163,normal,special,150,90,5
Draco Meteor,TM169,dragon,special,130,90,5
Tera Blast,TM171,normal,special,80,100,10
Knock Off,TM181,dark,physical,65,100,20
Uproar,TM191,normal,special,90,100,10
Scale Shot,TM200,dragon,physical,25,90,20
Double-Edge,TM204,normal,physical,120,100,15
Endeavor,TM205,normal,physical,??,100,5
Temper Flare,TM207,fire,physical,75,100,10
Supercell Slam,TM210,electric,physical,100,95,15
Breaking Swipe,TM222,dragon,physical,60,100,15
Dragon Cheer,TM226,dragon,other,--,101,15
