name,source,type,category,power,accuracy,pp
Tackle,nature,normal,physical,40,100,35
Growl,nature,normal,other,--,100,40
Lick,lv. 3,ghost,physical,30,100,30
Tail Whip,lv. 6,normal,other,--,100,30
Covet,lv. 8,normal,physical,60,100,25
Bite,lv. 11,dark,physical,60,100,25
Baby-Doll Eyes,lv. 15,fairy,other,--,100,30
Play Rough,lv. 18,fairy,physical,90,90,10
Work Up,lv. 22,normal,other,--,101,30
Baton Pass,lv. 29,normal,other,--,101,40
Roar,lv. 33,normal,other,--,101,20
Double-Edge,lv. 38,normal,physical,120,100,15
Charm,lv. 42,fairy,other,--,100,20
Crunch,lv. 47,dark,physical,80,100,15
Last Resort,lv. 53,normal,physical,140,100,5
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Agility,TM004,psychic,other,--,101,30
Mud-Slap,TM005,ground,special,20,100,10
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Fire Fang,TM008,fire,physical,65,95,15
Thunder Fang,TM009,electric,physical,65,95,15
Ice Fang,TM010,ice,physical,65,95,15
Trailblaze,TM020,grass,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Snarl,TM030,dark,special,55,95,15
Mud Shot,TM035,ground,special,55,95,15
Draining Kiss,TM037,fairy,special,50,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Dig,TM055,ground,physical,80,100,10
Psychic Fangs,TM063,psychic,physical,85,100,10
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Dazzling Gleam,TM079,fairy,special,80,100,10
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Body Press,TM089,fighting,physical,80,100,10
Substitute,TM103,normal,other,--,101,10
Crunch,TM108,dark,physical,80,100,15
Play Rough,TM127,fairy,physical,90,90,10
Helping Hand,TM130,normal,other,--,101,20
Baton Pass,TM132,normal,other,--,101,40
Misty Terrain,TM139,fairy,other,--,101,10
Giga Impact,TM152,normal,physical,150,90,5
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Roar,TM172,normal,other,--,101,20
Psych Up,TM203,normal,other,--,101,10
Double-Edge,TM204,normal,physical,120,100,15
Endeavor,TM205,normal,physical,??,100,5
Alluring Voice,TM227,fairy,special,80,100,10
