name,source,type,category,power,accuracy,pp
Tail Whip,nature,normal,other,--,100,30
Nuzzle,nature,electric,physical,20,100,20
Tackle,lv. 5,normal,physical,40,100,35
Charge,lv. 10,electric,other,--,101,20
Thunder Shock,lv. 15,electric,special,40,100,30
Charm,lv. 20,fairy,other,--,100,20
Parabolic Charge,lv. 25,electric,special,65,100,20
Volt Switch,lv. 30,electric,special,70,100,20
Rest,lv. 35,psychic,other,--,101,5
Snore,lv. 35,normal,special,50,100,15
Discharge,lv. 40,electric,special,80,100,15
Play Rough,lv. 45,fairy,physical,90,90,10
Super Fang,lv. 50,normal,physical,??,90,10
Entrainment,lv. 55,normal,other,--,100,15
Thunder,lv. 60,electric,special,110,70,10
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Agility,TM004,psychic,other,--,101,30
Protect,TM007,normal,other,--,101,10
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Charge Beam,TM023,electric,special,50,90,10
Facade,TM025,normal,physical,70,100,20
Swift,TM032,normal,special,60,101,20
Draining Kiss,TM037,fairy,special,50,100,10
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Volt Switch,TM048,electric,special,70,100,20
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Dig,TM055,ground,physical,80,100,10
U-turn,TM060,bug,physical,70,100,20
Thunder Punch,TM068,electric,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Electro Ball,TM072,electric,special,??,100,10
Light Screen,TM075,psychic,other,--,101,30
Dazzling Gleam,TM079,fairy,special,80,100,10
Grass Knot,TM081,grass,special,??,100,20
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Eerie Impulse,TM096,electric,other,--,100,15
Substitute,TM103,normal,other,--,101,10
Thunderbolt,TM126,electric,special,90,100,15
Play Rough,TM127,fairy,physical,90,90,10
Helping Hand,TM130,normal,other,--,101,20
Electric Terrain,TM136,electric,other,--,101,10
Misty Terrain,TM139,fairy,other,--,101,10
Wild Charge,TM147,electric,physical,90,100,15
Giga Impact,TM152,normal,physical,150,90,5
Hyper Beam,TM163,normal,special,150,90,5
Thunder,TM166,electric,special,110,70,10
Tera Blast,TM171,normal,special,80,100,10
Charge,TM173,electric,other,--,101,20
Super Fang,TM183,normal,physical,??,90,10
Endeavor,TM205,normal,physical,??,100,5
Electroweb,TM211,electric,special,55,95,15
