name,source,type,category,power,accuracy,pp
Tackle,nature,normal,physical,40,100,35
Growl,lv. 4,normal,other,--,100,40
Sand Attack,lv. 7,ground,other,--,100,15
Double Kick,lv. 10,fighting,physical,30,100,30
Leech Seed,lv. 13,grass,other,--,90,10
Bullet Seed,lv. 16,grass,physical,25,100,30
Take Down,lv. 20,normal,physical,90,85,20
Zen Headbutt,lv. 24,psychic,physical,80,90,15
Energy Ball,lv. 28,grass,special,90,100,10
Charm,lv. 32,fairy,other,--,100,20
Double-Edge,lv. 37,normal,physical,120,100,15
Solar Beam,lv. 42,grass,special,120,100,10
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Fake Tears,TM003,dark,other,--,100,20
Agility,TM004,psychic,other,--,101,30
Protect,TM007,normal,other,--,101,10
Trailblaze,TM020,grass,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Magical Leaf,TM033,grass,special,60,101,20
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Dig,TM055,ground,physical,80,100,10
Bullet Seed,TM056,grass,physical,25,100,30
Zen Headbutt,TM059,psychic,physical,80,90,15
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Light Screen,TM075,psychic,other,--,101,30
Grass Knot,TM081,grass,special,??,100,20
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Substitute,TM103,normal,other,--,101,10
Giga Drain,TM111,grass,special,75,100,10
Shadow Ball,TM114,ghost,special,80,100,15
Energy Ball,TM119,grass,special,90,100,10
Play Rough,TM127,fairy,physical,90,90,10
Helping Hand,TM130,normal,other,--,101,20
Baton Pass,TM132,normal,other,--,101,40
Grassy Terrain,TM137,grass,other,--,101,10
Wild Charge,TM147,electric,physical,90,100,15
Leaf Storm,TM159,grass,special,130,90,5
Solar Beam,TM168,grass,special,120,100,10
Tera Blast,TM171,normal,special,80,100,10
Grassy Glide,TM194,grass,physical,55,100,20
Double-Edge,TM204,normal,physical,120,100,15
Endeavor,TM205,normal,physical,??,100,5
