name,source,type,category,power,accuracy,pp
Tackle,nature,normal,physical,40,100,35
Focus Energy,nature,normal,other,--,101,30
Dragon Breath,lv. 4,dragon,special,60,100,20
Bite,lv. 8,dark,physical,60,100,25
Roar,lv. 12,normal,other,--,101,20
Assurance,lv. 16,dark,physical,60,100,10
Headbutt,lv. 20,normal,physical,70,100,15
Work Up,lv. 24,normal,other,--,101,30
Slam,lv. 28,normal,physical,80,75,20
Crunch,lv. 32,dark,physical,80,100,15
Scary Face,lv. 36,normal,other,--,100,10
Dragon Pulse,lv. 40,dragon,special,85,100,10
Body Slam,lv. 44,normal,physical,85,100,15
Hyper Voice,lv. 48,normal,special,90,100,10
Dragon Rush,lv. 52,dragon,physical,100,75,10
Nasty Plot,lv. 56,dark,other,--,101,20
Outrage,lv. 60,dragon,physical,120,100,10
Take Down,TM001,normal,physical,90,85,20
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Fire Fang,TM008,fire,physical,65,95,15
Thunder Fang,TM009,electric,physical,65,95,15
Ice Fang,TM010,ice,physical,65,95,15
Thief,TM018,dark,physical,60,100,25
Facade,TM025,normal,physical,70,100,20
Snarl,TM030,dark,special,55,95,15
Dragon Tail,TM044,dragon,physical,60,90,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Zen Headbutt,TM059,psychic,physical,80,90,15
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Dark Pulse,TM094,dark,special,80,100,15
Substitute,TM103,normal,other,--,101,10
Crunch,TM108,dark,physical,80,100,15
Dragon Pulse,TM115,dragon,special,85,100,10
Hyper Voice,TM117,normal,special,90,100,10
Earth Power,TM133,ground,special,90,100,10
Nasty Plot,TM140,dark,other,--,101,20
Outrage,TM156,dragon,physical,120,100,10
Draco Meteor,TM169,dragon,special,130,90,5
Tera Blast,TM171,normal,special,80,100,10
Roar,TM172,normal,other,--,101,20
Spite,TM177,ghost,other,--,100,10
Psych Up,TM203,normal,other,--,101,10
Dragon Cheer,TM226,dragon,other,--,101,15
