name,source,type,category,power,accuracy,pp
Present,nature,normal,physical,??,90,15
Drill Peck,lv. 25,flying,physical,80,100,20
Take Down,TM001,normal,physical,90,85,20
Agility,TM004,psychic,other,--,101,30
Protect,TM007,normal,other,--,101,10
Water Pulse,TM011,water,special,60,100,20
Acrobatics,TM014,flying,physical,55,100,15
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Swift,TM032,normal,special,60,101,20
Icy Wind,TM034,ice,special,55,95,15
Air Cutter,TM040,flying,special,60,95,25
Fling,TM043,dark,physical,??,100,10
Avalanche,TM046,ice,physical,60,100,10
Endure,TM047,normal,other,--,101,10
Rain Dance,TM050,water,other,--,101,5
Snowscape,TM052,ice,other,--,101,10
Brick Break,TM058,fighting,physical,75,100,15
Foul Play,TM062,dark,physical,95,100,15
Air Slash,TM065,flying,special,75,95,15
Body Slam,TM066,normal,physical,85,100,15
Ice Punch,TM069,ice,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Rest,TM085,psychic,other,--,101,5
Spikes,TM090,ground,other,--,101,20
Fly,TM097,flying,physical,90,95,15
Gunk Shot,TM102,poison,physical,120,80,5
Substitute,TM103,normal,other,--,101,10
Drill Run,TM106,ground,physical,80,95,10
Tailwind,TM113,flying,other,--,101,15
Ice Spinner,TM124,ice,physical,80,100,15
Helping Hand,TM130,normal,other,--,101,20
Baton Pass,TM132,normal,other,--,101,40
Reversal,TM134,fighting,physical,??,100,15
Ice Beam,TM135,ice,special,90,100,10
Blizzard,TM143,ice,special,110,70,5
Giga Impact,TM152,normal,physical,150,90,5
Hyper Beam,TM163,normal,special,150,90,5
Brave Bird,TM164,flying,physical,120,100,15
Tera Blast,TM171,normal,special,80,100,10
Haze,TM174,ice,other,--,101,30
Icicle Spear,TM187,ice,physical,25,100,30
Focus Punch,TM192,fighting,physical,150,100,20
Weather Ball,TM193,normal,special,50,100,10
Dual Wingbeat,TM197,flying,physical,40,90,10
Endeavor,TM205,normal,physical,??,100,5
Triple Axel,TM212,ice,physical,20,90,10
Feather Dance,TM216,flying,other,--,100,15
