name,source,type,category,power,accuracy,pp
Scratch,nature,normal,physical,40,100,35
Sand Attack,nature,ground,other,--,100,15
Growl,lv. 4,normal,other,--,100,40
Astonish,lv. 8,ghost,physical,30,100,15
Mud-Slap,lv. 12,ground,special,20,100,10
Bulldoze,lv. 16,ground,physical,60,100,20
Sucker Punch,lv. 20,dark,physical,70,100,5
Slash,lv. 24,normal,physical,70,100,20
Sandstorm,lv. 28,rock,other,--,101,10
Dig,lv. 32,ground,physical,80,100,10
Earth Power,lv. 36,ground,special,90,100,10
Earthquake,lv. 40,ground,physical,100,100,10
Fissure,lv. 44,ground,physical,??,30,5
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Agility,TM004,psychic,other,--,101,30
Mud-Slap,TM005,ground,special,20,100,10
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Thief,TM018,dark,physical,60,100,25
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Metal Claw,TM031,steel,physical,50,95,35
Mud Shot,TM035,ground,special,55,95,15
Rock Tomb,TM036,rock,physical,60,95,15
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Sandstorm,TM051,rock,other,--,101,10
Dig,TM055,ground,physical,80,100,10
Shadow Claw,TM061,ghost,physical,70,100,15
Foul Play,TM062,dark,physical,95,100,15
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Rock Blast,TM076,rock,physical,25,90,10
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Swords Dance,TM088,normal,other,--,101,20
Flash Cannon,TM093,steel,special,80,100,10
Iron Head,TM099,steel,physical,80,100,15
Substitute,TM103,normal,other,--,101,10
Iron Defense,TM104,steel,other,--,101,15
Stealth Rock,TM116,rock,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Earth Power,TM133,ground,special,90,100,10
Reversal,TM134,fighting,physical,??,100,15
Sludge Bomb,TM148,poison,special,90,100,10
Earthquake,TM149,ground,physical,100,100,10
Stone Edge,TM150,rock,physical,100,80,5
Steel Beam,TM170,steel,special,140,95,5
Tera Blast,TM171,normal,special,80,100,10
Sand Tomb,TM176,ground,physical,35,85,15
Smack Down,TM179,rock,physical,50,100,15
Uproar,TM191,normal,special,90,100,10
Double-Edge,TM204,normal,physical,120,100,15
Endeavor,TM205,normal,physical,??,100,5
Scorching Sands,TM215,ground,special,70,100,10
Throat Chop,TM221,dark,physical,80,100,15
Metal Sound,TM223,steel,other,--,85,40
Curse,TM224,ghost,other,--,101,10
