name,source,type,category,power,accuracy,pp
Tackle,nature,normal,physical,40,100,35
Supersonic,nature,normal,other,--,55,20
Water Gun,nature,water,special,40,100,25
Tickle,lv. 5,normal,other,--,100,20
Flail,lv. 10,normal,physical,??,100,15
Rest,lv. 15,psychic,other,--,101,5
Sleep Talk,lv. 15,normal,other,--,101,10
Dive,lv. 20,water,physical,80,100,10
Noble Roar,lv. 25,normal,other,--,100,30
Soak,lv. 30,water,other,--,100,20
Body Slam,lv. 35,normal,physical,85,100,15
Aqua Tail,lv. 40,water,physical,90,90,10
Rain Dance,lv. 45,water,other,--,101,5
Order Up,lv. 50,dragon,physical,80,100,10
Heavy Slam,lv. 55,steel,physical,??,100,10
Double-Edge,lv. 60,normal,physical,120,100,15
Wave Crash,lv. 65,water,physical,120,100,10
Take Down,TM001,normal,physical,90,85,20
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Ice Fang,TM010,ice,physical,65,95,15
Water Pulse,TM011,water,special,60,100,20
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Avalanche,TM046,ice,physical,60,100,10
Endure,TM047,normal,other,--,101,10
Rain Dance,TM050,water,other,--,101,5
Zen Headbutt,TM059,psychic,physical,80,90,15
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Waterfall,TM077,water,physical,80,100,15
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Body Press,TM089,fighting,physical,80,100,10
Substitute,TM103,normal,other,--,101,10
Crunch,TM108,dark,physical,80,100,15
Liquidation,TM110,water,physical,85,100,10
Heavy Slam,TM121,steel,physical,??,100,10
Surf,TM123,water,special,90,100,15
Hydro Pump,TM142,water,special,110,80,5
Earthquake,TM149,ground,physical,100,100,10
Giga Impact,TM152,normal,physical,150,90,5
Outrage,TM156,dragon,physical,120,100,10
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Double-Edge,TM204,normal,physical,120,100,15
Curse,TM224,ghost,other,--,101,10
