name,source,type,category,power,accuracy,pp
Fury Attack,lv. Evolve,normal,physical,15,85,20
Horn Attack,nature,normal,physical,65,100,25
Growl,nature,normal,other,--,100,40
Defense Curl,nature,normal,other,--,101,40
Thunder Fang,nature,electric,physical,65,95,15
Fire Fang,nature,fire,physical,65,95,15
Bulldoze,nature,ground,physical,60,100,20
Rapid Spin,lv. 6,normal,physical,50,100,40
Rollout,lv. 10,rock,physical,30,90,20
Assurance,lv. 15,dark,physical,60,100,10
Knock Off,lv. 19,dark,physical,65,100,20
Slam,lv. 24,normal,physical,80,75,20
Stomping Tantrum,lv. 30,ground,physical,75,100,10
Scary Face,lv. 37,normal,other,--,100,10
Earthquake,lv. 43,ground,physical,100,100,10
Giga Impact,lv. 50,normal,physical,150,90,5
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Mud-Slap,TM005,ground,special,20,100,10
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Fire Fang,TM008,fire,physical,65,95,15
Thunder Fang,TM009,electric,physical,65,95,15
Ice Fang,TM010,ice,physical,65,95,15
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Mud Shot,TM035,ground,special,55,95,15
Rock Tomb,TM036,rock,physical,60,95,15
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Sandstorm,TM051,rock,other,--,101,10
Smart Strike,TM053,steel,physical,70,101,10
Dig,TM055,ground,physical,80,100,10
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Poison Jab,TM083,poison,physical,80,100,20
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Body Press,TM089,fighting,physical,80,100,10
Iron Head,TM099,steel,physical,80,100,15
Gunk Shot,TM102,poison,physical,120,80,5
Substitute,TM103,normal,other,--,101,10
Iron Defense,TM104,steel,other,--,101,15
Stealth Rock,TM116,rock,other,--,101,20
Hyper Voice,TM117,normal,special,90,100,10
Heavy Slam,TM121,steel,physical,??,100,10
Encore,TM122,normal,other,--,100,5
Ice Spinner,TM124,ice,physical,80,100,15
Play Rough,TM127,fairy,physical,90,90,10
Helping Hand,TM130,normal,other,--,101,20
Earth Power,TM133,ground,special,90,100,10
Earthquake,TM149,ground,physical,100,100,10
Stone Edge,TM150,rock,physical,100,80,5
Giga Impact,TM152,normal,physical,150,90,5
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Roar,TM172,normal,other,--,101,20
Sand Tomb,TM176,ground,physical,35,85,15
Smack Down,TM179,rock,physical,50,100,15
Gyro Ball,TM180,steel,physical,??,100,5
Knock Off,TM181,dark,physical,65,100,20
High Horsepower,TM186,ground,physical,95,95,10
Double-Edge,TM204,normal,physical,120,100,15
Endeavor,TM205,normal,physical,??,100,5
Throat Chop,TM221,dark,physical,80,100,15
Curse,TM224,ghost,other,--,101,10
