name,source,type,category,power,accuracy,pp
Hurricane,lv. Evolve,flying,special,110,70,10
Roost,nature,flying,other,--,101,5
Extreme Speed,nature,normal,physical,80,100,5
Twister,nature,dragon,special,40,100,20
Thunder Wave,nature,electric,other,--,90,20
Fire Punch,nature,fire,physical,75,100,15
Wrap,nature,normal,physical,15,90,20
Wing Attack,nature,flying,physical,60,100,35
Thunder Punch,nature,electric,physical,75,100,15
Leer,nature,normal,other,--,100,30
Dragon Tail,lv. 15,dragon,physical,60,90,10
Agility,lv. 20,psychic,other,--,101,30
Slam,lv. 25,normal,physical,80,75,20
Aqua Tail,lv. 33,water,physical,90,90,10
Dragon Rush,lv. 39,dragon,physical,100,75,10
Outrage,lv. 41,dragon,physical,120,100,10
Safeguard,lv. 46,normal,other,--,101,25
Rain Dance,lv. 53,water,other,--,101,5
Dragon Dance,lv. 62,dragon,other,--,101,20
Hyper Beam,lv. 80,normal,special,150,90,5
Take Down,TM001,normal,physical,90,85,20
Agility,TM004,psychic,other,--,101,30
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Water Pulse,TM011,water,special,60,100,20
Low Kick,TM012,fighting,physical,??,100,20
Chilling Water,TM022,water,special,50,100,20
Fire Spin,TM024,fire,special,35,85,15
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Bulldoze,TM028,ground,physical,60,100,20
Swift,TM032,normal,special,60,101,20
Icy Wind,TM034,ice,special,55,95,15
Rock Tomb,TM036,rock,physical,60,95,15
Air Cutter,TM040,flying,special,60,95,25
Fling,TM043,dark,physical,??,100,10
Dragon Tail,TM044,dragon,physical,60,90,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Sandstorm,TM051,rock,other,--,101,10
Snowscape,TM052,ice,other,--,101,10
Brick Break,TM058,fighting,physical,75,100,15
Air Slash,TM065,flying,special,75,95,15
Body Slam,TM066,normal,physical,85,100,15
Fire Punch,TM067,fire,physical,75,100,15
Thunder Punch,TM068,electric,physical,75,100,15
Ice Punch,TM069,ice,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Light Screen,TM075,psychic,other,--,101,30
Waterfall,TM077,water,physical,80,100,15
Dragon Claw,TM078,dragon,physical,80,100,15
Metronome,TM080,normal,other,--,101,10
Thunder Wave,TM082,electric,other,--,90,20
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Body Press,TM089,fighting,physical,80,100,10
Fly,TM097,flying,physical,90,95,15
Iron Head,TM099,steel,physical,80,100,15
Dragon Dance,TM100,dragon,other,--,101,20
Substitute,TM103,normal,other,--,101,10
Tailwind,TM113,flying,other,--,101,15
Dragon Pulse,TM115,dragon,special,85,100,10
Heat Wave,TM118,fire,special,95,90,10
Encore,TM122,normal,other,--,100,5
Surf,TM123,water,special,90,100,15
Ice Spinner,TM124,ice,physical,80,100,15
Flamethrower,TM125,fire,special,90,100,15
Thunderbolt,TM126,electric,special,90,100,15
Helping Hand,TM130,normal,other,--,101,20
Ice Beam,TM135,ice,special,90,100,10
Fire Blast,TM141,fire,special,110,85,5
Hydro Pump,TM142,water,special,110,80,5
Blizzard,TM143,ice,special,110,70,5
Earthquake,TM149,ground,physical,100,100,10
Stone Edge,TM150,rock,physical,100,80,5
Giga Impact,TM152,normal,physical,150,90,5
Outrage,TM156,dragon,physical,120,100,10
Focus Blast,TM158,fighting,special,120,70,5
Hurricane,TM160,flying,special,110,70,10
Hyper Beam,TM163,normal,special,150,90,5
Thunder,TM166,electric,special,110,70,10
Draco Meteor,TM169,dragon,special,130,90,5
Tera Blast,TM171,normal,special,80,100,10
Roar,TM172,normal,other,--,101,20
Haze,TM174,ice,other,--,101,30
Focus Punch,TM192,fighting,physical,150,100,20
Weather Ball,TM193,normal,special,50,100,10
Scale Shot,TM200,dragon,physical,25,90,20
Breaking Swipe,TM222,dragon,physical,60,100,15
Dragon Cheer,TM226,dragon,other,--,101,15
