name,source,type,category,power,accuracy,pp
Bite,nature,dark,physical,60,100,25
Quick Attack,nature,normal,physical,40,100,30
Astonish,nature,ghost,physical,30,100,15
Infestation,nature,bug,special,20,100,20
Protect,TM007,normal,other,--,101,10
Confuse Ray,TM017,ghost,other,--,100,10
Facade,TM025,normal,physical,70,100,20
Swift,TM032,normal,special,60,101,20
Dragon Tail,TM044,dragon,physical,60,90,10
Endure,TM047,normal,other,--,101,10
Sleep Talk,TM070,normal,other,--,101,10
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Substitute,TM103,normal,other,--,101,10
Helping Hand,TM130,normal,other,--,101,20
Baton Pass,TM132,normal,other,--,101,40
Draco Meteor,TM169,dragon,special,130,90,5
Tera Blast,TM171,normal,special,80,100,10
Curse,TM224,ghost,other,--,101,10
