name,source,type,category,power,accuracy,pp
Minimize,nature,normal,other,--,101,10
Astonish,nature,ghost,physical,30,100,15
Gust,lv. 4,flying,special,40,100,35
Focus Energy,lv. 8,normal,other,--,101,30
Payback,lv. 12,dark,physical,50,100,10
Hex,lv. 16,ghost,special,65,100,10
Shadow Ball,lv. 20,ghost,special,80,100,15
Stockpile,lv. 24,normal,other,--,101,20
Spit Up,lv. 24,normal,special,??,100,10
Swallow,lv. 24,normal,other,--,101,10
Self-Destruct,lv. 29,normal,physical,200,100,5
Destiny Bond,lv. 32,ghost,other,--,101,5
Baton Pass,lv. 36,normal,other,--,101,40
Tailwind,lv. 40,flying,other,--,101,15
Explosion,lv. 44,normal,physical,250,100,5
Protect,TM007,normal,other,--,101,10
Acrobatics,TM014,flying,physical,55,100,15
Psybeam,TM016,psychic,special,65,100,20
Thief,TM018,dark,physical,60,100,25
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Hex,TM029,ghost,special,65,100,10
Swift,TM032,normal,special,60,101,20
Icy Wind,TM034,ice,special,55,95,15
Air Cutter,TM040,flying,special,60,95,25
Stored Power,TM041,psychic,special,20,100,10
Night Shade,TM042,ghost,special,??,100,15
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Sleep Talk,TM070,normal,other,--,101,10
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Imprison,TM092,psychic,other,--,101,10
Fly,TM097,flying,physical,90,95,15
Skill Swap,TM098,psychic,other,--,101,10
Substitute,TM103,normal,other,--,101,10
Will-O-Wisp,TM107,fire,other,--,85,15
Trick,TM109,psychic,other,--,100,10
Tailwind,TM113,flying,other,--,101,15
Shadow Ball,TM114,ghost,special,80,100,15
Psychic,TM120,psychic,special,90,100,10
Thunderbolt,TM126,electric,special,90,100,15
Amnesia,TM128,psychic,other,--,101,20
Calm Mind,TM129,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Baton Pass,TM132,normal,other,--,101,40
Phantom Force,TM151,ghost,physical,90,100,10
Trick Room,TM161,psychic,other,--,101,5
Thunder,TM166,electric,special,110,70,10
Tera Blast,TM171,normal,special,80,100,10
Haze,TM174,ice,other,--,101,30
Spite,TM177,ghost,other,--,100,10
Gyro Ball,TM180,steel,physical,??,100,5
Knock Off,TM181,dark,physical,65,100,20
Weather Ball,TM193,normal,special,50,100,10
Pain Split,TM202,normal,other,--,101,20
Temper Flare,TM207,fire,physical,75,100,10
Curse,TM224,ghost,other,--,101,10
