name,source,type,category,power,accuracy,pp
Pound,nature,normal,physical,40,100,35
Hypnosis,nature,psychic,other,--,60,20
Disable,lv. 5,normal,other,--,100,20
Confusion,lv. 9,psychic,special,50,100,25
Headbutt,lv. 13,normal,physical,70,100,15
Poison Gas,lv. 17,poison,other,--,90,40
Psybeam,lv. 21,psychic,special,65,100,20
Psych Up,lv. 25,normal,other,--,101,10
Zen Headbutt,lv. 29,psychic,physical,80,90,15
Swagger,lv. 33,normal,other,--,85,15
Psychic,lv. 37,psychic,special,90,100,10
Nasty Plot,lv. 41,dark,other,--,101,20
Psyshock,lv. 45,psychic,special,80,100,10
Future Sight,lv. 49,psychic,special,120,100,10
Take Down,TM001,normal,physical,90,85,20
Protect,TM007,normal,other,--,101,10
Low Kick,TM012,fighting,physical,??,100,20
Psybeam,TM016,psychic,special,65,100,20
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Swift,TM032,normal,special,60,101,20
Draining Kiss,TM037,fairy,special,50,100,10
Low Sweep,TM039,fighting,physical,65,100,20
Stored Power,TM041,psychic,special,20,100,10
Night Shade,TM042,ghost,special,??,100,15
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Psyshock,TM054,psychic,special,80,100,10
Brick Break,TM058,fighting,physical,75,100,15
Zen Headbutt,TM059,psychic,physical,80,90,15
Foul Play,TM062,dark,physical,95,100,15
Body Slam,TM066,normal,physical,85,100,15
Fire Punch,TM067,fire,physical,75,100,15
Thunder Punch,TM068,electric,physical,75,100,15
Ice Punch,TM069,ice,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Drain Punch,TM073,fighting,physical,75,100,10
Reflect,TM074,psychic,other,--,101,20
Light Screen,TM075,psychic,other,--,101,30
Dazzling Gleam,TM079,fairy,special,80,100,10
Metronome,TM080,normal,other,--,101,10
Grass Knot,TM081,grass,special,??,100,20
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Imprison,TM092,psychic,other,--,101,10
Skill Swap,TM098,psychic,other,--,101,10
Substitute,TM103,normal,other,--,101,10
Trick,TM109,psychic,other,--,100,10
Shadow Ball,TM114,ghost,special,80,100,15
Psychic,TM120,psychic,special,90,100,10
Encore,TM122,normal,other,--,100,5
Calm Mind,TM129,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Psychic Terrain,TM138,psychic,other,--,101,10
Nasty Plot,TM140,dark,other,--,101,20
Focus Blast,TM158,fighting,special,120,70,5
Trick Room,TM161,psychic,other,--,101,5
Tera Blast,TM171,normal,special,80,100,10
Haze,TM174,ice,other,--,101,30
Toxic,TM175,poison,other,--,90,10
Knock Off,TM181,dark,physical,65,100,20
Focus Punch,TM192,fighting,physical,150,100,20
Psych Up,TM203,normal,other,--,101,10
Double-Edge,TM204,normal,physical,120,100,15
Endeavor,TM205,normal,physical,??,100,5
Future Sight,TM217,psychic,special,120,100,10
Expanding Force,TM218,psychic,special,80,100,10
Curse,TM224,ghost,other,--,101,10
Psychic Noise,TM228,psychic,special,75,100,10
