name,source,type,category,power,accuracy,pp
Tackle,nature,normal,physical,40,100,35
Protect,nature,normal,other,--,101,10
Rock Smash,lv. 5,fighting,physical,40,100,15
Focus Energy,lv. 10,normal,other,--,101,30
Headbutt,lv. 15,normal,physical,70,100,15
Bulk Up,lv. 20,fighting,other,--,101,20
Endure,lv. 25,normal,other,--,101,10
Reversal,lv. 30,fighting,physical,??,100,15
First Impression,lv. 35,bug,physical,90,100,10
No Retreat,lv. 40,fighting,other,--,101,5
Iron Defense,lv. 45,steel,other,--,101,15
Close Combat,lv. 50,fighting,physical,120,100,5
Megahorn,lv. 55,bug,physical,120,85,10
Counter,lv. 60,fighting,physical,??,100,20
Take Down,TM001,normal,physical,90,85,20
Agility,TM004,psychic,other,--,101,30
Protect,TM007,normal,other,--,101,10
Trailblaze,TM020,grass,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Rock Tomb,TM036,rock,physical,60,95,15
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Smart Strike,TM053,steel,physical,70,101,10
False Swipe,TM057,normal,physical,40,100,40
Brick Break,TM058,fighting,physical,75,100,15
Zen Headbutt,TM059,psychic,physical,80,90,15
Bulk Up,TM064,fighting,other,--,101,20
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Poison Jab,TM083,poison,physical,80,100,20
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Swords Dance,TM088,normal,other,--,101,20
Body Press,TM089,fighting,physical,80,100,10
Iron Head,TM099,steel,physical,80,100,15
Substitute,TM103,normal,other,--,101,10
Iron Defense,TM104,steel,other,--,101,15
Helping Hand,TM130,normal,other,--,101,20
Reversal,TM134,fighting,physical,??,100,15
Giga Impact,TM152,normal,physical,150,90,5
Focus Blast,TM158,fighting,special,120,70,5
Hyper Beam,TM163,normal,special,150,90,5
Close Combat,TM167,fighting,physical,120,100,5
Tera Blast,TM171,normal,special,80,100,10
Knock Off,TM181,dark,physical,65,100,20
Lunge,TM185,bug,physical,80,100,15
High Horsepower,TM186,ground,physical,95,95,10
Uproar,TM191,normal,special,90,100,10
Psych Up,TM203,normal,other,--,101,10
Endeavor,TM205,normal,physical,??,100,5
Coaching,TM213,fighting,other,--,101,10
Throat Chop,TM221,dark,physical,80,100,15
Upper Hand,TM229,fighting,physical,65,100,15
