name,source,type,category,power,accuracy,pp
Supersonic,nature,normal,other,--,55,20
Water Gun,nature,water,special,40,100,25
Astonish,lv. 7,ghost,physical,30,100,15
Focus Energy,lv. 10,normal,other,--,101,30
Aqua Jet,lv. 13,water,physical,40,100,20
Double Hit,lv. 17,normal,physical,35,90,10
Dive,lv. 21,water,physical,80,100,10
Charm,lv. 25,fairy,other,--,100,20
Acrobatics,lv. 29,flying,physical,55,100,15
Encore,lv. 34,normal,other,--,100,5
Aqua Tail,lv. 39,water,physical,90,90,10
Mist,lv. 44,ice,other,--,101,30
Hydro Pump,lv. 50,water,special,110,80,5
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Agility,TM004,psychic,other,--,101,30
Protect,TM007,normal,other,--,101,10
Water Pulse,TM011,water,special,60,100,20
Acrobatics,TM014,flying,physical,55,100,15
Disarming Voice,TM019,fairy,special,40,101,15
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Swift,TM032,normal,special,60,101,20
Icy Wind,TM034,ice,special,55,95,15
Draining Kiss,TM037,fairy,special,50,100,10
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Rain Dance,TM050,water,other,--,101,5
Zen Headbutt,TM059,psychic,physical,80,90,15
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Waterfall,TM077,water,physical,80,100,15
Rest,TM085,psychic,other,--,101,5
Substitute,TM103,normal,other,--,101,10
Liquidation,TM110,water,physical,85,100,10
Encore,TM122,normal,other,--,100,5
Surf,TM123,water,special,90,100,15
Helping Hand,TM130,normal,other,--,101,20
Ice Beam,TM135,ice,special,90,100,10
Hydro Pump,TM142,water,special,110,80,5
Blizzard,TM143,ice,special,110,70,5
Tera Blast,TM171,normal,special,80,100,10
Haze,TM174,ice,other,--,101,30
Psych Up,TM203,normal,other,--,101,10
