name,source,type,category,power,accuracy,pp
Wing Attack,lv. Evolve,flying,physical,60,100,35
Astonish,nature,ghost,physical,30,100,15
Twister,nature,dragon,special,40,100,20
Withdraw,nature,water,other,--,101,40
Recycle,nature,normal,other,--,101,10
Growth,nature,normal,other,--,101,20
Acid Spray,lv. 4,poison,special,40,100,20
Acrobatics,lv. 8,flying,physical,55,100,15
Leech Seed,lv. 12,grass,other,--,90,10
Protect,lv. 16,normal,other,--,101,10
Dragon Breath,lv. 20,dragon,special,60,100,20
Dragon Dance,lv. 24,dragon,other,--,101,20
Dragon Pulse,lv. 28,dragon,special,85,100,10
Grav Apple,lv. 32,grass,physical,80,100,10
Iron Defense,lv. 36,steel,other,--,101,15
Fly,lv. 40,flying,physical,90,95,15
Dragon Rush,lv. 44,dragon,physical,100,75,10
Take Down,TM001,normal,physical,90,85,20
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Acid Spray,TM013,poison,special,40,100,20
Acrobatics,TM014,flying,physical,55,100,15
Trailblaze,TM020,grass,physical,50,100,20
Pounce,TM021,bug,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Magical Leaf,TM033,grass,special,60,101,20
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Bullet Seed,TM056,grass,physical,25,100,30
U-turn,TM060,bug,physical,70,100,20
Air Slash,TM065,flying,special,75,95,15
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Grass Knot,TM081,grass,special,??,100,20
Rest,TM085,psychic,other,--,101,5
Fly,TM097,flying,physical,90,95,15
Dragon Dance,TM100,dragon,other,--,101,20
Substitute,TM103,normal,other,--,101,10
Iron Defense,TM104,steel,other,--,101,15
Giga Drain,TM111,grass,special,75,100,10
Dragon Pulse,TM115,dragon,special,85,100,10
Energy Ball,TM119,grass,special,90,100,10
Heavy Slam,TM121,steel,physical,??,100,10
Grassy Terrain,TM137,grass,other,--,101,10
Giga Impact,TM152,normal,physical,150,90,5
Outrage,TM156,dragon,physical,120,100,10
Leaf Storm,TM159,grass,special,130,90,5
Hyper Beam,TM163,normal,special,150,90,5
Solar Beam,TM168,grass,special,120,100,10
Draco Meteor,TM169,dragon,special,130,90,5
Tera Blast,TM171,normal,special,80,100,10
Grassy Glide,TM194,grass,physical,55,100,20
Dual Wingbeat,TM197,flying,physical,40,90,10
Endeavor,TM205,normal,physical,??,100,5
