name,source,type,category,power,accuracy,pp
Ember,lv. Evolve,fire,special,40,100,25
Swift,nature,normal,special,60,101,20
Tackle,nature,normal,physical,40,100,35
Take Down,nature,normal,physical,90,85,20
Double-Edge,nature,normal,physical,120,100,15
Tail Whip,nature,normal,other,--,100,30
Copycat,nature,normal,other,--,101,20
Growl,nature,normal,other,--,100,40
Covet,nature,normal,physical,60,100,25
Helping Hand,nature,normal,other,--,101,20
Baton Pass,nature,normal,other,--,101,40
Charm,nature,fairy,other,--,100,20
Sand Attack,lv. 5,ground,other,--,100,15
Quick Attack,lv. 10,normal,physical,40,100,30
Baby-Doll Eyes,lv. 15,fairy,other,--,100,30
Smog,lv. 20,poison,special,30,70,20
Bite,lv. 25,dark,physical,60,100,25
Fire Fang,lv. 30,fire,physical,65,95,15
Fire Spin,lv. 35,fire,special,35,85,15
Lava Plume,lv. 40,fire,special,80,100,15
Scary Face,lv. 45,normal,other,--,100,10
Flare Blitz,lv. 50,fire,physical,120,100,15
Last Resort,lv. 55,normal,physical,140,100,5
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Fake Tears,TM003,dark,other,--,100,20
Mud-Slap,TM005,ground,special,20,100,10
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Fire Fang,TM008,fire,physical,65,95,15
Trailblaze,TM020,grass,physical,50,100,20
Fire Spin,TM024,fire,special,35,85,15
Facade,TM025,normal,physical,70,100,20
Swift,TM032,normal,special,60,101,20
Flame Charge,TM038,fire,physical,50,100,20
Stored Power,TM041,psychic,special,20,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Dig,TM055,ground,physical,80,100,10
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Rest,TM085,psychic,other,--,101,5
Substitute,TM103,normal,other,--,101,10
Will-O-Wisp,TM107,fire,other,--,85,15
Shadow Ball,TM114,ghost,special,80,100,15
Hyper Voice,TM117,normal,special,90,100,10
Heat Wave,TM118,fire,special,95,90,10
Flamethrower,TM125,fire,special,90,100,15
Calm Mind,TM129,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Baton Pass,TM132,normal,other,--,101,40
Fire Blast,TM141,fire,special,110,85,5
Giga Impact,TM152,normal,physical,150,90,5
Overheat,TM157,fire,special,130,90,5
Hyper Beam,TM163,normal,special,150,90,5
Flare Blitz,TM165,fire,physical,120,100,15
Tera Blast,TM171,normal,special,80,100,10
Roar,TM172,normal,other,--,101,20
Weather Ball,TM193,normal,special,50,100,10
Burning Jealousy,TM195,fire,special,70,100,5
Double-Edge,TM204,normal,physical,120,100,15
Endeavor,TM205,normal,physical,??,100,5
Temper Flare,TM207,fire,physical,75,100,10
Scorching Sands,TM215,ground,special,70,100,10
Curse,TM224,ghost,other,--,101,10
Alluring Voice,TM227,fairy,special,80,100,10
