name,source,type,category,power,accuracy,pp
Growl,nature,normal,other,--,100,40
Peck,nature,flying,physical,35,100,35
Confusion,lv. 5,psychic,special,50,100,25
Baby-Doll Eyes,lv. 8,fairy,other,--,100,30
Disarming Voice,lv. 11,fairy,special,40,101,15
Quick Attack,lv. 15,normal,physical,40,100,30
Psybeam,lv. 19,psychic,special,65,100,20
Pluck,lv. 24,flying,physical,60,100,20
Agility,lv. 29,psychic,other,--,101,30
Uproar,lv. 34,normal,special,90,100,10
Take Down,TM001,normal,physical,90,85,20
Agility,TM004,psychic,other,--,101,30
Mud-Slap,TM005,ground,special,20,100,10
Protect,TM007,normal,other,--,101,10
Psybeam,TM016,psychic,special,65,100,20
Confuse Ray,TM017,ghost,other,--,100,10
Thief,TM018,dark,physical,60,100,25
Disarming Voice,TM019,fairy,special,40,101,15
Pounce,TM021,bug,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Swift,TM032,normal,special,60,101,20
Stored Power,TM041,psychic,special,20,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Sandstorm,TM051,rock,other,--,101,10
Psyshock,TM054,psychic,special,80,100,10
Zen Headbutt,TM059,psychic,physical,80,90,15
U-turn,TM060,bug,physical,70,100,20
Foul Play,TM062,dark,physical,95,100,15
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Reflect,TM074,psychic,other,--,101,20
Light Screen,TM075,psychic,other,--,101,30
Rest,TM085,psychic,other,--,101,5
Skill Swap,TM098,psychic,other,--,101,10
Substitute,TM103,normal,other,--,101,10
Trick,TM109,psychic,other,--,100,10
Psychic,TM120,psychic,special,90,100,10
Calm Mind,TM129,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Baton Pass,TM132,normal,other,--,101,40
Psychic Terrain,TM138,psychic,other,--,101,10
Trick Room,TM161,psychic,other,--,101,5
Tera Blast,TM171,normal,special,80,100,10
Uproar,TM191,normal,special,90,100,10
