name,source,type,category,power,accuracy,pp
Vine Whip,nature,grass,physical,45,100,25
Tackle,nature,normal,physical,40,100,35
Fairy Wind,nature,fairy,special,40,100,30
Safeguard,lv. 10,normal,other,--,101,25
Razor Leaf,lv. 15,grass,physical,55,95,25
Wish,lv. 20,normal,other,--,101,10
Magical Leaf,lv. 25,grass,special,60,101,20
Grassy Terrain,lv. 27,grass,other,--,101,10
Petal Blizzard,lv. 33,grass,physical,90,100,15
Synthesis,lv. 38,grass,other,--,101,5
Misty Terrain,lv. 43,fairy,other,--,101,10
Moonblast,lv. 46,fairy,special,95,100,15
Petal Dance,lv. 51,grass,special,120,100,10
Solar Beam,lv. 58,grass,special,120,100,10
Charm,TM002,fairy,other,--,100,20
Protect,TM007,normal,other,--,101,10
Disarming Voice,TM019,fairy,special,40,101,15
Trailblaze,TM020,grass,physical,50,100,20
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Swift,TM032,normal,special,60,101,20
Magical Leaf,TM033,grass,special,60,101,20
Draining Kiss,TM037,fairy,special,50,100,10
Stored Power,TM041,psychic,special,20,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Light Screen,TM075,psychic,other,--,101,30
Dazzling Gleam,TM079,fairy,special,80,100,10
Metronome,TM080,normal,other,--,101,10
Grass Knot,TM081,grass,special,??,100,20
Rest,TM085,psychic,other,--,101,5
Skill Swap,TM098,psychic,other,--,101,10
Substitute,TM103,normal,other,--,101,10
Trick,TM109,psychic,other,--,100,10
Giga Drain,TM111,grass,special,75,100,10
Energy Ball,TM119,grass,special,90,100,10
Psychic,TM120,psychic,special,90,100,10
Calm Mind,TM129,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Pollen Puff,TM131,bug,special,90,100,15
Baton Pass,TM132,normal,other,--,101,40
Grassy Terrain,TM137,grass,other,--,101,10
Misty Terrain,TM139,fairy,other,--,101,10
Solar Beam,TM168,grass,special,120,100,10
Tera Blast,TM171,normal,special,80,100,10
Endeavor,TM205,normal,physical,??,100,5
Petal Blizzard,TM206,grass,physical,90,100,15
Alluring Voice,TM227,fairy,special,80,100,10
