name,source,type,category,power,accuracy,pp
Scratch,nature,normal,physical,40,100,35
Tail Whip,nature,normal,other,--,100,30
Leafage,nature,grass,physical,40,100,40
Bite,lv. 7,dark,physical,60,100,25
Hone Claws,lv. 10,dark,other,--,101,15
Magical Leaf,lv. 13,grass,special,60,101,20
Quick Attack,lv. 15,normal,physical,40,100,30
Seed Bomb,lv. 20,grass,physical,80,100,15
U-turn,lv. 24,bug,physical,70,100,20
Worry Seed,lv. 28,grass,other,--,100,10
Slash,lv. 33,normal,physical,70,100,20
Energy Ball,lv. 38,grass,special,90,100,10
Play Rough,lv. 42,fairy,physical,90,90,10
Leaf Storm,lv. 46,grass,special,130,90,5
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Fake Tears,TM003,dark,other,--,100,20
Agility,TM004,psychic,other,--,101,30
Mud-Slap,TM005,ground,special,20,100,10
Protect,TM007,normal,other,--,101,10
Low Kick,TM012,fighting,physical,??,100,20
Acrobatics,TM014,flying,physical,55,100,15
Disarming Voice,TM019,fairy,special,40,101,15
Trailblaze,TM020,grass,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Swift,TM032,normal,special,60,101,20
Magical Leaf,TM033,grass,special,60,101,20
Low Sweep,TM039,fighting,physical,65,100,20
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Bullet Seed,TM056,grass,physical,25,100,30
U-turn,TM060,bug,physical,70,100,20
Shadow Claw,TM061,ghost,physical,70,100,15
Thunder Punch,TM068,electric,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Grass Knot,TM081,grass,special,??,100,20
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Substitute,TM103,normal,other,--,101,10
Giga Drain,TM111,grass,special,75,100,10
Energy Ball,TM119,grass,special,90,100,10
Play Rough,TM127,fairy,physical,90,90,10
Helping Hand,TM130,normal,other,--,101,20
Grassy Terrain,TM137,grass,other,--,101,10
Nasty Plot,TM140,dark,other,--,101,20
Grass Pledge,TM146,grass,special,80,100,10
Leaf Storm,TM159,grass,special,130,90,5
Solar Beam,TM168,grass,special,120,100,10
Tera Blast,TM171,normal,special,80,100,10
Grassy Glide,TM194,grass,physical,55,100,20
Petal Blizzard,TM206,grass,physical,90,100,15
