name,source,type,category,power,accuracy,pp
Confuse Ray,nature,ghost,other,--,100,10
Spite,nature,ghost,other,--,100,10
Astonish,nature,ghost,physical,30,100,15
Psybeam,lv. 7,psychic,special,65,100,20
Mean Look,lv. 14,normal,other,--,101,5
Memento,lv. 21,dark,other,--,100,10
Wish,lv. 28,normal,other,--,101,10
Dazzling Gleam,lv. 35,fairy,special,80,100,10
Shadow Ball,lv. 42,ghost,special,80,100,15
Mystical Fire,lv. 49,fire,special,75,100,10
Power Gem,lv. 56,rock,special,80,100,20
Psyshock,lv. 63,psychic,special,80,100,10
Phantom Force,lv. 70,ghost,physical,90,100,10
Pain Split,lv. 77,normal,other,--,101,20
Moonblast,lv. 84,fairy,special,95,100,15
Perish Song,lv. 91,normal,other,--,101,5
Charm,TM002,fairy,other,--,100,20
Fake Tears,TM003,dark,other,--,100,20
Protect,TM007,normal,other,--,101,10
Psybeam,TM016,psychic,special,65,100,20
Confuse Ray,TM017,ghost,other,--,100,10
Disarming Voice,TM019,fairy,special,40,101,15
Charge Beam,TM023,electric,special,50,90,10
Hex,TM029,ghost,special,65,100,10
Swift,TM032,normal,special,60,101,20
Magical Leaf,TM033,grass,special,60,101,20
Icy Wind,TM034,ice,special,55,95,15
Draining Kiss,TM037,fairy,special,50,100,10
Stored Power,TM041,psychic,special,20,100,10
Night Shade,TM042,ghost,special,??,100,15
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Psyshock,TM054,psychic,special,80,100,10
Sleep Talk,TM070,normal,other,--,101,10
Dazzling Gleam,TM079,fairy,special,80,100,10
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Imprison,TM092,psychic,other,--,101,10
Dark Pulse,TM094,dark,special,80,100,15
Power Gem,TM101,rock,special,80,100,20
Substitute,TM103,normal,other,--,101,10
Shadow Ball,TM114,ghost,special,80,100,15
Hyper Voice,TM117,normal,special,90,100,10
Energy Ball,TM119,grass,special,90,100,10
Thunderbolt,TM126,electric,special,90,100,15
Calm Mind,TM129,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Misty Terrain,TM139,fairy,other,--,101,10
Phantom Force,TM151,ghost,physical,90,100,10
Giga Impact,TM152,normal,physical,150,90,5
Trick Room,TM161,psychic,other,--,101,5
Hyper Beam,TM163,normal,special,150,90,5
Thunder,TM166,electric,special,110,70,10
Tera Blast,TM171,normal,special,80,100,10
Spite,TM177,ghost,other,--,100,10
Poltergeist,TM198,ghost,physical,110,90,5
Pain Split,TM202,normal,other,--,101,20
