name,source,type,category,power,accuracy,pp
Fury Cutter,nature,bug,physical,40,95,20
Leafage,nature,grass,physical,40,100,40
Growth,lv. 5,normal,other,--,101,20
Ingrain,lv. 10,grass,other,--,101,20
Razor Leaf,lv. 15,grass,physical,55,95,25
Sweet Scent,lv. 20,normal,other,--,100,20
Slash,lv. 25,normal,physical,70,100,20
X-Scissor,lv. 30,bug,physical,80,100,15
Synthesis,lv. 35,grass,other,--,101,5
Leaf Blade,lv. 40,grass,physical,90,100,15
Sunny Day,lv. 45,fire,other,--,101,5
Solar Beam,lv. 50,grass,special,120,100,10
Take Down,TM001,normal,physical,90,85,20
Protect,TM007,normal,other,--,101,10
Trailblaze,TM020,grass,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Magical Leaf,TM033,grass,special,60,101,20
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Bullet Seed,TM056,grass,physical,25,100,30
False Swipe,TM057,normal,physical,40,100,40
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Grass Knot,TM081,grass,special,??,100,20
Rest,TM085,psychic,other,--,101,5
Swords Dance,TM088,normal,other,--,101,20
Leech Life,TM095,bug,physical,80,100,10
Substitute,TM103,normal,other,--,101,10
X-Scissor,TM105,bug,physical,80,100,15
Giga Drain,TM111,grass,special,75,100,10
Energy Ball,TM119,grass,special,90,100,10
Grassy Terrain,TM137,grass,other,--,101,10
Leaf Storm,TM159,grass,special,130,90,5
Solar Beam,TM168,grass,special,120,100,10
Tera Blast,TM171,normal,special,80,100,10
Bug Bite,TM182,bug,physical,60,100,20
Weather Ball,TM193,normal,special,50,100,10
Grassy Glide,TM194,grass,physical,55,100,20
Petal Blizzard,TM206,grass,physical,90,100,15
Skitter Smack,TM219,bug,physical,70,90,10
