name,source,type,category,power,accuracy,pp
Absorb,nature,grass,special,20,100,25
Astonish,nature,ghost,physical,30,100,15
Growth,lv. 4,normal,other,--,101,20
Stun Spore,lv. 8,grass,other,--,75,30
Mega Drain,lv. 12,grass,special,40,100,15
Synthesis,lv. 16,grass,other,--,101,5
Clear Smog,lv. 20,poison,special,50,101,15
Sweet Scent,lv. 24,normal,other,--,100,20
Giga Drain,lv. 28,grass,special,75,100,10
Ingrain,lv. 32,grass,other,--,101,20
Toxic,lv. 36,poison,other,--,90,10
Rage Powder,lv. 40,bug,other,--,101,20
Solar Beam,lv. 44,grass,special,120,100,10
Spore,lv. 48,grass,other,--,100,15
Protect,TM007,normal,other,--,101,10
Facade,TM025,normal,physical,70,100,20
Magical Leaf,TM033,grass,special,60,101,20
Venoshock,TM045,poison,special,65,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Bullet Seed,TM056,grass,physical,25,100,30
Foul Play,TM062,dark,physical,95,100,15
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Grass Knot,TM081,grass,special,??,100,20
Rest,TM085,psychic,other,--,101,5
Substitute,TM103,normal,other,--,101,10
Giga Drain,TM111,grass,special,75,100,10
Energy Ball,TM119,grass,special,90,100,10
Pollen Puff,TM131,bug,special,90,100,15
Grassy Terrain,TM137,grass,other,--,101,10
Sludge Bomb,TM148,poison,special,90,100,10
Leaf Storm,TM159,grass,special,130,90,5
Solar Beam,TM168,grass,special,120,100,10
Tera Blast,TM171,normal,special,80,100,10
Toxic,TM175,poison,other,--,90,10
