name,source,type,category,power,accuracy,pp
Heavy Slam,lv. Evolve,steel,physical,??,100,10
Magnet Rise,nature,electric,other,--,101,10
Toxic Spikes,nature,poison,other,--,101,20
Bug Bite,nature,bug,physical,60,100,20
Protect,nature,normal,other,--,101,10
Zap Cannon,nature,electric,special,120,50,5
Self-Destruct,nature,normal,physical,200,100,5
Tackle,nature,normal,physical,40,100,35
Take Down,lv. 12,normal,physical,90,85,20
Rapid Spin,lv. 17,normal,physical,50,100,40
Rollout,lv. 20,rock,physical,30,90,20
Curse,lv. 23,ghost,other,--,101,10
Spikes,lv. 28,ground,other,--,101,20
Payback,lv. 32,dark,physical,50,100,10
Explosion,lv. 36,normal,physical,250,100,5
Iron Defense,lv. 42,steel,other,--,101,15
Gyro Ball,lv. 46,steel,physical,??,100,5
Double-Edge,lv. 50,normal,physical,120,100,15
Take Down,TM001,normal,physical,90,85,20
Protect,TM007,normal,other,--,101,10
Struggle Bug,TM015,bug,special,50,100,20
Pounce,TM021,bug,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Swift,TM032,normal,special,60,101,20
Rock Tomb,TM036,rock,physical,60,95,15
Venoshock,TM045,poison,special,65,100,10
Endure,TM047,normal,other,--,101,10
Volt Switch,TM048,electric,special,70,100,20
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Sandstorm,TM051,rock,other,--,101,10
Smart Strike,TM053,steel,physical,70,101,10
Dig,TM055,ground,physical,80,100,10
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Reflect,TM074,psychic,other,--,101,20
Light Screen,TM075,psychic,other,--,101,30
Rock Blast,TM076,rock,physical,25,90,10
Thunder Wave,TM082,electric,other,--,90,20
Poison Jab,TM083,poison,physical,80,100,20
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Body Press,TM089,fighting,physical,80,100,10
Spikes,TM090,ground,other,--,101,20
Toxic Spikes,TM091,poison,other,--,101,20
Flash Cannon,TM093,steel,special,80,100,10
Iron Head,TM099,steel,physical,80,100,15
Substitute,TM103,normal,other,--,101,10
Iron Defense,TM104,steel,other,--,101,15
Drill Run,TM106,ground,physical,80,95,10
Giga Drain,TM111,grass,special,75,100,10
Stealth Rock,TM116,rock,other,--,101,20
Heavy Slam,TM121,steel,physical,??,100,10
Ice Spinner,TM124,ice,physical,80,100,15
Helping Hand,TM130,normal,other,--,101,20
Earth Power,TM133,ground,special,90,100,10
Reversal,TM134,fighting,physical,??,100,15
Earthquake,TM149,ground,physical,100,100,10
Stone Edge,TM150,rock,physical,100,80,5
Giga Impact,TM152,normal,physical,150,90,5
Bug Buzz,TM162,bug,special,90,100,10
Hyper Beam,TM163,normal,special,150,90,5
Solar Beam,TM168,grass,special,120,100,10
Steel Beam,TM170,steel,special,140,95,5
Tera Blast,TM171,normal,special,80,100,10
Sand Tomb,TM176,ground,physical,35,85,15
Gravity,TM178,psychic,other,--,101,5
Gyro Ball,TM180,steel,physical,??,100,5
Bug Bite,TM182,bug,physical,60,100,20
Lunge,TM185,bug,physical,80,100,15
Pain Split,TM202,normal,other,--,101,20
Double-Edge,TM204,normal,physical,120,100,15
Metal Sound,TM223,steel,other,--,85,40
Curse,TM224,ghost,other,--,101,10
Hard Press,TM225,steel,physical,??,100,10
