name,source,type,category,power,accuracy,pp
Scratch,nature,normal,physical,40,100,35
Leer,nature,normal,other,--,100,30
Bite,nature,dark,physical,60,100,25
False Swipe,nature,normal,physical,40,100,40
Assurance,lv. 9,dark,physical,60,100,10
Taunt,lv. 12,dark,other,--,100,20
Slash,lv. 15,normal,physical,70,100,20
Dragon Claw,lv. 18,dragon,physical,80,100,15
Scary Face,lv. 21,normal,other,--,100,10
Crunch,lv. 24,dark,physical,80,100,15
Dragon Dance,lv. 27,dragon,other,--,101,20
Breaking Swipe,lv. 30,dragon,physical,60,100,15
Focus Energy,lv. 33,normal,other,--,101,30
Dragon Pulse,lv. 36,dragon,special,85,100,10
Swords Dance,lv. 41,normal,other,--,101,20
Outrage,lv. 46,dragon,physical,120,100,10
Guillotine,lv. 51,normal,physical,??,30,5
Giga Impact,lv. 56,normal,physical,150,90,5
Take Down,TM001,normal,physical,90,85,20
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Low Kick,TM012,fighting,physical,??,100,20
Trailblaze,TM020,grass,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Bulldoze,TM028,ground,physical,60,100,20
Snarl,TM030,dark,special,55,95,15
Swift,TM032,normal,special,60,101,20
Rock Tomb,TM036,rock,physical,60,95,15
Fling,TM043,dark,physical,??,100,10
Dragon Tail,TM044,dragon,physical,60,90,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Dig,TM055,ground,physical,80,100,10
False Swipe,TM057,normal,physical,40,100,40
Brick Break,TM058,fighting,physical,75,100,15
Shadow Claw,TM061,ghost,physical,70,100,15
Sleep Talk,TM070,normal,other,--,101,10
Dragon Claw,TM078,dragon,physical,80,100,15
Poison Jab,TM083,poison,physical,80,100,20
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Swords Dance,TM088,normal,other,--,101,20
Iron Head,TM099,steel,physical,80,100,15
Dragon Dance,TM100,dragon,other,--,101,20
Substitute,TM103,normal,other,--,101,10
X-Scissor,TM105,bug,physical,80,100,15
Crunch,TM108,dark,physical,80,100,15
Dragon Pulse,TM115,dragon,special,85,100,10
Surf,TM123,water,special,90,100,15
Reversal,TM134,fighting,physical,??,100,15
Giga Impact,TM152,normal,physical,150,90,5
Outrage,TM156,dragon,physical,120,100,10
Draco Meteor,TM169,dragon,special,130,90,5
Tera Blast,TM171,normal,special,80,100,10
Roar,TM172,normal,other,--,101,20
Scale Shot,TM200,dragon,physical,25,90,20
Double-Edge,TM204,normal,physical,120,100,15
Endeavor,TM205,normal,physical,??,100,5
Breaking Swipe,TM222,dragon,physical,60,100,15
Dragon Cheer,TM226,dragon,other,--,101,15
