name,source,type,category,power,accuracy,pp
Icy Wind,lv. Evolve,ice,special,55,95,15
Struggle Bug,nature,bug,special,50,100,20
Powder Snow,nature,ice,special,40,100,25
Attract,nature,normal,other,--,100,15
Helping Hand,nature,normal,other,--,101,20
Stun Spore,lv. 4,grass,other,--,75,30
Infestation,lv. 8,bug,special,20,100,20
Mist,lv. 12,ice,other,--,101,30
Defog,lv. 16,flying,other,--,101,15
Feather Dance,lv. 21,flying,other,--,100,15
Aurora Beam,lv. 24,ice,special,65,100,20
Snowscape,lv. 28,ice,other,--,101,10
Bug Buzz,lv. 32,bug,special,90,100,10
Aurora Veil,lv. 36,ice,other,--,101,20
Blizzard,lv. 40,ice,special,110,70,5
Tailwind,lv. 44,flying,other,--,101,15
Wide Guard,lv. 48,rock,other,--,101,10
Quiver Dance,lv. 52,bug,other,--,101,20
Take Down,TM001,normal,physical,90,85,20
Protect,TM007,normal,other,--,101,10
Acrobatics,TM014,flying,physical,55,100,15
Struggle Bug,TM015,bug,special,50,100,20
Pounce,TM021,bug,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Swift,TM032,normal,special,60,101,20
Icy Wind,TM034,ice,special,55,95,15
Avalanche,TM046,ice,physical,60,100,10
Endure,TM047,normal,other,--,101,10
Snowscape,TM052,ice,other,--,101,10
U-turn,TM060,bug,physical,70,100,20
Air Slash,TM065,flying,special,75,95,15
Sleep Talk,TM070,normal,other,--,101,10
Reflect,TM074,psychic,other,--,101,20
Light Screen,TM075,psychic,other,--,101,30
Dazzling Gleam,TM079,fairy,special,80,100,10
Rest,TM085,psychic,other,--,101,5
Imprison,TM092,psychic,other,--,101,10
Leech Life,TM095,bug,physical,80,100,10
Substitute,TM103,normal,other,--,101,10
Giga Drain,TM111,grass,special,75,100,10
Tailwind,TM113,flying,other,--,101,15
Ice Spinner,TM124,ice,physical,80,100,15
Play Rough,TM127,fairy,physical,90,90,10
Calm Mind,TM129,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Ice Beam,TM135,ice,special,90,100,10
Blizzard,TM143,ice,special,110,70,5
Giga Impact,TM152,normal,physical,150,90,5
Hurricane,TM160,flying,special,110,70,10
Bug Buzz,TM162,bug,special,90,100,10
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Bug Bite,TM182,bug,physical,60,100,20
Lunge,TM185,bug,physical,80,100,15
Icicle Spear,TM187,ice,physical,25,100,30
Weather Ball,TM193,normal,special,50,100,10
Triple Axel,TM212,ice,physical,20,90,10
Feather Dance,TM216,flying,other,--,100,15
Skitter Smack,TM219,bug,physical,70,90,10
