name,source,type,category,power,accuracy,pp
Slash,lv. Evolve,normal,physical,70,100,20
Night Slash,nature,dark,physical,70,100,15
Imprison,nature,psychic,other,--,101,10
Life Dew,nature,water,other,--,101,10
Future Sight,nature,psychic,special,120,100,10
Fury Cutter,nature,bug,physical,40,95,20
Sacred Sword,nature,fighting,physical,90,100,15
Charm,nature,fairy,other,--,100,20
Disarming Voice,nature,fairy,special,40,101,15
Calm Mind,nature,psychic,other,--,101,20
Leaf Blade,nature,grass,physical,90,100,15
Double Team,nature,normal,other,--,101,15
Draining Kiss,nature,fairy,special,50,100,10
Hypnosis,nature,psychic,other,--,60,20
Psychic,nature,psychic,special,90,100,10
Confusion,nature,psychic,special,50,100,25
Psybeam,nature,psychic,special,65,100,20
Growl,nature,normal,other,--,100,40
Leer,nature,normal,other,--,100,30
Dream Eater,nature,psychic,special,100,100,15
Aqua Cutter,nature,water,physical,70,100,20
Helping Hand,lv. 9,normal,other,--,101,20
Feint,lv. 12,normal,physical,30,100,10
Teleport,lv. 15,psychic,other,--,101,20
Aerial Ace,lv. 18,flying,physical,60,101,20
False Swipe,lv. 23,normal,physical,40,100,40
Protect,lv. 28,normal,other,--,101,10
Swords Dance,lv. 35,normal,other,--,101,20
Psycho Cut,lv. 42,psychic,physical,70,100,20
Heal Pulse,lv. 49,psychic,other,--,101,10
Wide Guard,lv. 56,rock,other,--,101,10
Quick Guard,lv. 56,fighting,other,--,101,15
Close Combat,lv. 63,fighting,physical,120,100,5
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Agility,TM004,psychic,other,--,101,30
Protect,TM007,normal,other,--,101,10
Low Kick,TM012,fighting,physical,??,100,20
Psybeam,TM016,psychic,special,65,100,20
Confuse Ray,TM017,ghost,other,--,100,10
Thief,TM018,dark,physical,60,100,25
Disarming Voice,TM019,fairy,special,40,101,15
Charge Beam,TM023,electric,special,50,90,10
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Bulldoze,TM028,ground,physical,60,100,20
Hex,TM029,ghost,special,65,100,10
Swift,TM032,normal,special,60,101,20
Magical Leaf,TM033,grass,special,60,101,20
Icy Wind,TM034,ice,special,55,95,15
Rock Tomb,TM036,rock,physical,60,95,15
Draining Kiss,TM037,fairy,special,50,100,10
Low Sweep,TM039,fighting,physical,65,100,20
Stored Power,TM041,psychic,special,20,100,10
Night Shade,TM042,ghost,special,??,100,15
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Psyshock,TM054,psychic,special,80,100,10
False Swipe,TM057,normal,physical,40,100,40
Brick Break,TM058,fighting,physical,75,100,15
Zen Headbutt,TM059,psychic,physical,80,90,15
Shadow Claw,TM061,ghost,physical,70,100,15
Bulk Up,TM064,fighting,other,--,101,20
Air Slash,TM065,flying,special,75,95,15
Body Slam,TM066,normal,physical,85,100,15
Fire Punch,TM067,fire,physical,75,100,15
Thunder Punch,TM068,electric,physical,75,100,15
Ice Punch,TM069,ice,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Drain Punch,TM073,fighting,physical,75,100,10
Reflect,TM074,psychic,other,--,101,20
Light Screen,TM075,psychic,other,--,101,30
Dazzling Gleam,TM079,fairy,special,80,100,10
Metronome,TM080,normal,other,--,101,10
Grass Knot,TM081,grass,special,??,100,20
Thunder Wave,TM082,electric,other,--,90,20
Poison Jab,TM083,poison,physical,80,100,20
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Taunt,TM087,dark,other,--,100,20
Swords Dance,TM088,normal,other,--,101,20
Imprison,TM092,psychic,other,--,101,10
Skill Swap,TM098,psychic,other,--,101,10
Substitute,TM103,normal,other,--,101,10
X-Scissor,TM105,bug,physical,80,100,15
Will-O-Wisp,TM107,fire,other,--,85,15
Trick,TM109,psychic,other,--,100,10
Aura Sphere,TM112,fighting,special,80,101,20
Shadow Ball,TM114,ghost,special,80,100,15
Hyper Voice,TM117,normal,special,90,100,10
Energy Ball,TM119,grass,special,90,100,10
Psychic,TM120,psychic,special,90,100,10
Encore,TM122,normal,other,--,100,5
Thunderbolt,TM126,electric,special,90,100,15
Calm Mind,TM129,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Reversal,TM134,fighting,physical,??,100,15
Psychic Terrain,TM138,psychic,other,--,101,10
Misty Terrain,TM139,fairy,other,--,101,10
Earthquake,TM149,ground,physical,100,100,10
Stone Edge,TM150,rock,physical,100,80,5
Giga Impact,TM152,normal,physical,150,90,5
Focus Blast,TM158,fighting,special,120,70,5
Trick Room,TM161,psychic,other,--,101,5
Hyper Beam,TM163,normal,special,150,90,5
Close Combat,TM167,fighting,physical,120,100,5
Tera Blast,TM171,normal,special,80,100,10
Knock Off,TM181,dark,physical,65,100,20
Vacuum Wave,TM184,fighting,special,40,100,30
Solar Blade,TM190,grass,physical,125,100,10
Focus Punch,TM192,fighting,physical,150,100,20
Pain Split,TM202,normal,other,--,101,20
Psych Up,TM203,normal,other,--,101,10
Triple Axel,TM212,ice,physical,20,90,10
Coaching,TM213,fighting,other,--,101,10
Future Sight,TM217,psychic,special,120,100,10
Expanding Force,TM218,psychic,special,80,100,10
Throat Chop,TM221,dark,physical,80,100,15
Alluring Voice,TM227,fairy,special,80,100,10
Upper Hand,TM229,fighting,physical,65,100,15
