name,source,type,category,power,accuracy,pp
Dazzling Gleam,lv. Evolve,fairy,special,80,100,10
Growl,nature,normal,other,--,100,40
Confusion,nature,psychic,special,50,100,25
Mystical Fire,nature,fire,special,75,100,10
Double Team,nature,normal,other,--,101,15
Misty Terrain,nature,fairy,other,--,101,10
Charm,nature,fairy,other,--,100,20
Disarming Voice,nature,fairy,special,40,101,15
Healing Wish,nature,psychic,other,--,101,10
Heal Pulse,nature,psychic,other,--,101,10
Hypnosis,lv. 9,psychic,other,--,60,20
Draining Kiss,lv. 12,fairy,special,50,100,10
Teleport,lv. 15,psychic,other,--,101,20
Psybeam,lv. 18,psychic,special,65,100,20
Life Dew,lv. 23,water,other,--,101,10
Wish,lv. 28,normal,other,--,101,10
Calm Mind,lv. 35,psychic,other,--,101,20
Psychic,lv. 42,psychic,special,90,100,10
Moonblast,lv. 49,fairy,special,95,100,15
Dream Eater,lv. 56,psychic,special,100,100,15
Future Sight,lv. 63,psychic,special,120,100,10
Charm,TM002,fairy,other,--,100,20
Protect,TM007,normal,other,--,101,10
Psybeam,TM016,psychic,special,65,100,20
Confuse Ray,TM017,ghost,other,--,100,10
Thief,TM018,dark,physical,60,100,25
Disarming Voice,TM019,fairy,special,40,101,15
Charge Beam,TM023,electric,special,50,90,10
Facade,TM025,normal,physical,70,100,20
Swift,TM032,normal,special,60,101,20
Magical Leaf,TM033,grass,special,60,101,20
Icy Wind,TM034,ice,special,55,95,15
Draining Kiss,TM037,fairy,special,50,100,10
Stored Power,TM041,psychic,special,20,100,10
Night Shade,TM042,ghost,special,??,100,15
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Psyshock,TM054,psychic,special,80,100,10
Zen Headbutt,TM059,psychic,physical,80,90,15
Body Slam,TM066,normal,physical,85,100,15
Fire Punch,TM067,fire,physical,75,100,15
Thunder Punch,TM068,electric,physical,75,100,15
Ice Punch,TM069,ice,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Reflect,TM074,psychic,other,--,101,20
Light Screen,TM075,psychic,other,--,101,30
Dazzling Gleam,TM079,fairy,special,80,100,10
Metronome,TM080,normal,other,--,101,10
Grass Knot,TM081,grass,special,??,100,20
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Imprison,TM092,psychic,other,--,101,10
Skill Swap,TM098,psychic,other,--,101,10
Substitute,TM103,normal,other,--,101,10
Will-O-Wisp,TM107,fire,other,--,85,15
Trick,TM109,psychic,other,--,100,10
Aura Sphere,TM112,fighting,special,80,101,20
Shadow Ball,TM114,ghost,special,80,100,15
Hyper Voice,TM117,normal,special,90,100,10
Energy Ball,TM119,grass,special,90,100,10
Psychic,TM120,psychic,special,90,100,10
Encore,TM122,normal,other,--,100,5
Thunderbolt,TM126,electric,special,90,100,15
Calm Mind,TM129,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Psychic Terrain,TM138,psychic,other,--,101,10
Misty Terrain,TM139,fairy,other,--,101,10
Giga Impact,TM152,normal,physical,150,90,5
Focus Blast,TM158,fighting,special,120,70,5
Trick Room,TM161,psychic,other,--,101,5
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Gravity,TM178,psychic,other,--,101,5
Knock Off,TM181,dark,physical,65,100,20
Vacuum Wave,TM184,fighting,special,40,100,30
Misty Explosion,TM201,fairy,special,100,100,5
Pain Split,TM202,normal,other,--,101,20
Psych Up,TM203,normal,other,--,101,10
Triple Axel,TM212,ice,physical,20,90,10
Future Sight,TM217,psychic,special,120,100,10
Expanding Force,TM218,psychic,special,80,100,10
Alluring Voice,TM227,fairy,special,80,100,10
Psychic Noise,TM228,psychic,special,75,100,10
