name,source,type,category,power,accuracy,pp
Hammer Arm,lv. Evolve,fighting,physical,100,90,10
Block,nature,normal,other,--,101,5
Tackle,nature,normal,physical,40,100,35
Wide Guard,nature,rock,other,--,101,10
Harden,nature,normal,other,--,101,30
Rock Blast,nature,rock,physical,25,90,10
Rock Throw,lv. 5,rock,physical,50,90,15
Mud Shot,lv. 7,ground,special,55,95,15
Rock Tomb,lv. 10,rock,physical,60,95,15
Rock Polish,lv. 13,rock,other,--,101,20
Headbutt,lv. 16,normal,physical,70,100,15
Salt Cure,lv. 24,rock,physical,40,100,15
Recover,lv. 30,normal,other,--,101,5
Rock Slide,lv. 34,rock,physical,75,90,10
Stealth Rock,lv. 40,rock,other,--,101,20
Heavy Slam,lv. 44,steel,physical,??,100,10
Earthquake,lv. 49,ground,physical,100,100,10
Stone Edge,lv. 54,rock,physical,100,80,5
Explosion,lv. 60,normal,physical,250,100,5
Take Down,TM001,normal,physical,90,85,20
Protect,TM007,normal,other,--,101,10
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Mud Shot,TM035,ground,special,55,95,15
Rock Tomb,TM036,rock,physical,60,95,15
Fling,TM043,dark,physical,??,100,10
Avalanche,TM046,ice,physical,60,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Sandstorm,TM051,rock,other,--,101,10
Dig,TM055,ground,physical,80,100,10
Brick Break,TM058,fighting,physical,75,100,15
Zen Headbutt,TM059,psychic,physical,80,90,15
Body Slam,TM066,normal,physical,85,100,15
Fire Punch,TM067,fire,physical,75,100,15
Thunder Punch,TM068,electric,physical,75,100,15
Ice Punch,TM069,ice,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Rock Blast,TM076,rock,physical,25,90,10
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Body Press,TM089,fighting,physical,80,100,10
Flash Cannon,TM093,steel,special,80,100,10
Iron Head,TM099,steel,physical,80,100,15
Power Gem,TM101,rock,special,80,100,20
Substitute,TM103,normal,other,--,101,10
Iron Defense,TM104,steel,other,--,101,15
Stealth Rock,TM116,rock,other,--,101,20
Heavy Slam,TM121,steel,physical,??,100,10
Helping Hand,TM130,normal,other,--,101,20
Earth Power,TM133,ground,special,90,100,10
Earthquake,TM149,ground,physical,100,100,10
Stone Edge,TM150,rock,physical,100,80,5
Giga Impact,TM152,normal,physical,150,90,5
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Gravity,TM178,psychic,other,--,101,5
Smack Down,TM179,rock,physical,50,100,15
Focus Punch,TM192,fighting,physical,150,100,20
Double-Edge,TM204,normal,physical,120,100,15
Meteor Beam,TM220,rock,special,120,90,10
Curse,TM224,ghost,other,--,101,10
Hard Press,TM225,steel,physical,??,100,10
