name,source,type,category,power,accuracy,pp
Tackle,nature,normal,physical,40,100,35
Astonish,nature,ghost,physical,30,100,15
Night Shade,lv. 7,ghost,special,??,100,15
Confuse Ray,lv. 14,ghost,other,--,100,10
Substitute,lv. 21,normal,other,--,101,10
Metal Sound,lv. 28,steel,other,--,85,40
Shadow Ball,lv. 35,ghost,special,80,100,15
Recover,lv. 42,normal,other,--,101,5
Power Gem,lv. 49,rock,special,80,100,20
Make It Rain,lv. 56,steel,special,120,100,5
Nasty Plot,lv. 63,dark,other,--,101,20
Memento,lv. 70,dark,other,--,100,10
Take Down,TM001,normal,physical,90,85,20
Protect,TM007,normal,other,--,101,10
Low Kick,TM012,fighting,physical,??,100,20
Confuse Ray,TM017,ghost,other,--,100,10
Thief,TM018,dark,physical,60,100,25
Charge Beam,TM023,electric,special,50,90,10
Hex,TM029,ghost,special,65,100,10
Low Sweep,TM039,fighting,physical,65,100,20
Night Shade,TM042,ghost,special,??,100,15
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Sandstorm,TM051,rock,other,--,101,10
Psyshock,TM054,psychic,special,80,100,10
Thunder Punch,TM068,electric,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Electro Ball,TM072,electric,special,??,100,10
Reflect,TM074,psychic,other,--,101,20
Light Screen,TM075,psychic,other,--,101,30
Dazzling Gleam,TM079,fairy,special,80,100,10
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Flash Cannon,TM093,steel,special,80,100,10
Iron Head,TM099,steel,physical,80,100,15
Power Gem,TM101,rock,special,80,100,20
Substitute,TM103,normal,other,--,101,10
Trick,TM109,psychic,other,--,100,10
Shadow Ball,TM114,ghost,special,80,100,15
Psychic,TM120,psychic,special,90,100,10
Heavy Slam,TM121,steel,physical,??,100,10
Thunderbolt,TM126,electric,special,90,100,15
Nasty Plot,TM140,dark,other,--,101,20
Giga Impact,TM152,normal,physical,150,90,5
Focus Blast,TM158,fighting,special,120,70,5
Hyper Beam,TM163,normal,special,150,90,5
Thunder,TM166,electric,special,110,70,10
Steel Beam,TM170,steel,special,140,95,5
Tera Blast,TM171,normal,special,80,100,10
Focus Punch,TM192,fighting,physical,150,100,20
Poltergeist,TM198,ghost,physical,110,90,5
Metal Sound,TM223,steel,other,--,85,40
