name,source,type,category,power,accuracy,pp
Tackle,nature,normal,physical,40,100,35
Sand Tomb,nature,ground,physical,35,85,15
Sand Attack,lv. 6,ground,other,--,100,15
Dragon Breath,lv. 12,dragon,special,60,100,20
Bulldoze,lv. 18,ground,physical,60,100,20
Bite,lv. 25,dark,physical,60,100,25
Slash,lv. 30,normal,physical,70,100,20
Dragon Claw,lv. 36,dragon,physical,80,100,15
Dig,lv. 42,ground,physical,80,100,10
Sandstorm,lv. 48,rock,other,--,101,10
Take Down,lv. 54,normal,physical,90,85,20
Dragon Rush,lv. 60,dragon,physical,100,75,10
Take Down,TM001,normal,physical,90,85,20
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Fire Fang,TM008,fire,physical,65,95,15
Thunder Fang,TM009,electric,physical,65,95,15
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Metal Claw,TM031,steel,physical,50,95,35
Swift,TM032,normal,special,60,101,20
Mud Shot,TM035,ground,special,55,95,15
Rock Tomb,TM036,rock,physical,60,95,15
Dragon Tail,TM044,dragon,physical,60,90,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Sandstorm,TM051,rock,other,--,101,10
Dig,TM055,ground,physical,80,100,10
False Swipe,TM057,normal,physical,40,100,40
Shadow Claw,TM061,ghost,physical,70,100,15
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Dragon Claw,TM078,dragon,physical,80,100,15
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Swords Dance,TM088,normal,other,--,101,20
Iron Head,TM099,steel,physical,80,100,15
Substitute,TM103,normal,other,--,101,10
Dragon Pulse,TM115,dragon,special,85,100,10
Stealth Rock,TM116,rock,other,--,101,20
Flamethrower,TM125,fire,special,90,100,15
Helping Hand,TM130,normal,other,--,101,20
Earth Power,TM133,ground,special,90,100,10
Fire Blast,TM141,fire,special,110,85,5
Earthquake,TM149,ground,physical,100,100,10
Stone Edge,TM150,rock,physical,100,80,5
Outrage,TM156,dragon,physical,120,100,10
Draco Meteor,TM169,dragon,special,130,90,5
Tera Blast,TM171,normal,special,80,100,10
Sand Tomb,TM176,ground,physical,35,85,15
Scale Shot,TM200,dragon,physical,25,90,20
Double-Edge,TM204,normal,physical,120,100,15
Scorching Sands,TM215,ground,special,70,100,10
Dragon Cheer,TM226,dragon,other,--,101,15
