name,source,type,category,power,accuracy,pp
Tackle,nature,normal,physical,40,100,35
Growl,nature,normal,other,--,100,40
Astonish,nature,ghost,physical,30,100,15
Power Swap,nature,psychic,other,--,101,10
Guard Swap,nature,psychic,other,--,101,10
Confusion,lv. 5,psychic,special,50,100,25
Assurance,lv. 10,dark,physical,60,100,10
Stomp,lv. 14,normal,physical,65,100,20
Psybeam,lv. 19,psychic,special,65,100,20
Agility,lv. 23,psychic,other,--,101,30
Double Hit,lv. 28,normal,physical,35,90,10
Twin Beam,lv. 32,psychic,special,40,100,10
Crunch,lv. 37,dark,physical,80,100,15
Baton Pass,lv. 41,normal,other,--,101,40
Nasty Plot,lv. 46,dark,other,--,101,20
Psychic,lv. 50,psychic,special,90,100,10
Take Down,TM001,normal,physical,90,85,20
Agility,TM004,psychic,other,--,101,30
Protect,TM007,normal,other,--,101,10
Low Kick,TM012,fighting,physical,??,100,20
Psybeam,TM016,psychic,special,65,100,20
Confuse Ray,TM017,ghost,other,--,100,10
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Charge Beam,TM023,electric,special,50,90,10
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Swift,TM032,normal,special,60,101,20
Stored Power,TM041,psychic,special,20,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Psyshock,TM054,psychic,special,80,100,10
Zen Headbutt,TM059,psychic,physical,80,90,15
Foul Play,TM062,dark,physical,95,100,15
Psychic Fangs,TM063,psychic,physical,85,100,10
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Reflect,TM074,psychic,other,--,101,20
Light Screen,TM075,psychic,other,--,101,30
Dazzling Gleam,TM079,fairy,special,80,100,10
Grass Knot,TM081,grass,special,??,100,20
Thunder Wave,TM082,electric,other,--,90,20
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Imprison,TM092,psychic,other,--,101,10
Skill Swap,TM098,psychic,other,--,101,10
Substitute,TM103,normal,other,--,101,10
Crunch,TM108,dark,physical,80,100,15
Trick,TM109,psychic,other,--,100,10
Shadow Ball,TM114,ghost,special,80,100,15
Hyper Voice,TM117,normal,special,90,100,10
Energy Ball,TM119,grass,special,90,100,10
Psychic,TM120,psychic,special,90,100,10
Thunderbolt,TM126,electric,special,90,100,15
Amnesia,TM128,psychic,other,--,101,20
Calm Mind,TM129,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Baton Pass,TM132,normal,other,--,101,40
Psychic Terrain,TM138,psychic,other,--,101,10
Nasty Plot,TM140,dark,other,--,101,20
Earthquake,TM149,ground,physical,100,100,10
Giga Impact,TM152,normal,physical,150,90,5
Trick Room,TM161,psychic,other,--,101,5
Hyper Beam,TM163,normal,special,150,90,5
Thunder,TM166,electric,special,110,70,10
Tera Blast,TM171,normal,special,80,100,10
Gravity,TM178,psychic,other,--,101,5
High Horsepower,TM186,ground,physical,95,95,10
Uproar,TM191,normal,special,90,100,10
Psych Up,TM203,normal,other,--,101,10
Double-Edge,TM204,normal,physical,120,100,15
Endeavor,TM205,normal,physical,??,100,5
Future Sight,TM217,psychic,special,120,100,10
Expanding Force,TM218,psychic,special,80,100,10
Psychic Noise,TM228,psychic,special,75,100,10
