name,source,type,category,power,accuracy,pp
Icy Wind,lv. Evolve,ice,special,55,95,15
Charm,nature,fairy,other,--,100,20
Tackle,nature,normal,physical,40,100,35
Take Down,nature,normal,physical,90,85,20
Double-Edge,nature,normal,physical,120,100,15
Tail Whip,nature,normal,other,--,100,30
Copycat,nature,normal,other,--,101,20
Growl,nature,normal,other,--,100,40
Covet,nature,normal,physical,60,100,25
Helping Hand,nature,normal,other,--,101,20
Swift,nature,normal,special,60,101,20
Baton Pass,nature,normal,other,--,101,40
Sand Attack,lv. 5,ground,other,--,100,15
Quick Attack,lv. 10,normal,physical,40,100,30
Baby-Doll Eyes,lv. 15,fairy,other,--,100,30
Ice Shard,lv. 20,ice,physical,40,100,30
Bite,lv. 25,dark,physical,60,100,25
Ice Fang,lv. 30,ice,physical,65,95,15
Snowscape,lv. 35,ice,other,--,101,10
Freeze-Dry,lv. 40,ice,special,70,100,20
Mirror Coat,lv. 45,psychic,special,??,100,20
Blizzard,lv. 50,ice,special,110,70,5
Last Resort,lv. 55,normal,physical,140,100,5
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Fake Tears,TM003,dark,other,--,100,20
Mud-Slap,TM005,ground,special,20,100,10
Protect,TM007,normal,other,--,101,10
Ice Fang,TM010,ice,physical,65,95,15
Water Pulse,TM011,water,special,60,100,20
Trailblaze,TM020,grass,physical,50,100,20
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Swift,TM032,normal,special,60,101,20
Icy Wind,TM034,ice,special,55,95,15
Mud Shot,TM035,ground,special,55,95,15
Stored Power,TM041,psychic,special,20,100,10
Avalanche,TM046,ice,physical,60,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Snowscape,TM052,ice,other,--,101,10
Dig,TM055,ground,physical,80,100,10
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Rest,TM085,psychic,other,--,101,5
Substitute,TM103,normal,other,--,101,10
Shadow Ball,TM114,ghost,special,80,100,15
Hyper Voice,TM117,normal,special,90,100,10
Calm Mind,TM129,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Baton Pass,TM132,normal,other,--,101,40
Ice Beam,TM135,ice,special,90,100,10
Blizzard,TM143,ice,special,110,70,5
Giga Impact,TM152,normal,physical,150,90,5
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Roar,TM172,normal,other,--,101,20
Haze,TM174,ice,other,--,101,30
Gravity,TM178,psychic,other,--,101,5
Icicle Spear,TM187,ice,physical,25,100,30
Weather Ball,TM193,normal,special,50,100,10
Double-Edge,TM204,normal,physical,120,100,15
Triple Axel,TM212,ice,physical,20,90,10
Curse,TM224,ghost,other,--,101,10
Alluring Voice,TM227,fairy,special,80,100,10
