name,source,type,category,power,accuracy,pp
Aerial Ace,lv. Evolve,flying,physical,60,101,20
Earthquake,nature,ground,physical,100,100,10
Growth,nature,normal,other,--,101,20
Tail Whip,nature,normal,other,--,100,30
Vine Whip,nature,grass,physical,45,100,25
Tackle,nature,normal,physical,40,100,35
Leech Seed,lv. 12,grass,other,--,90,10
Razor Leaf,lv. 13,grass,physical,55,95,25
Worry Seed,lv. 16,grass,other,--,100,10
Synthesis,lv. 20,grass,other,--,101,5
Take Down,lv. 22,normal,physical,90,85,20
Bulldoze,lv. 26,ground,physical,60,100,20
Seed Bomb,lv. 30,grass,physical,80,100,15
Bulk Up,lv. 34,fighting,other,--,101,20
Double-Edge,lv. 40,normal,physical,120,100,15
Horn Leech,lv. 47,grass,physical,75,100,10
Leaf Blade,lv. 55,grass,physical,90,100,15
Milk Drink,lv. 58,normal,other,--,101,5
Take Down,TM001,normal,physical,90,85,20
Mud-Slap,TM005,ground,special,20,100,10
Protect,TM007,normal,other,--,101,10
Trailblaze,TM020,grass,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Bulldoze,TM028,ground,physical,60,100,20
Magical Leaf,TM033,grass,special,60,101,20
Mud Shot,TM035,ground,special,55,95,15
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Dig,TM055,ground,physical,80,100,10
Bullet Seed,TM056,grass,physical,25,100,30
Brick Break,TM058,fighting,physical,75,100,15
Zen Headbutt,TM059,psychic,physical,80,90,15
Bulk Up,TM064,fighting,other,--,101,20
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Grass Knot,TM081,grass,special,??,100,20
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Substitute,TM103,normal,other,--,101,10
Giga Drain,TM111,grass,special,75,100,10
Energy Ball,TM119,grass,special,90,100,10
Surf,TM123,water,special,90,100,15
Play Rough,TM127,fairy,physical,90,90,10
Helping Hand,TM130,normal,other,--,101,20
Grassy Terrain,TM137,grass,other,--,101,10
Wild Charge,TM147,electric,physical,90,100,15
Earthquake,TM149,ground,physical,100,100,10
Giga Impact,TM152,normal,physical,150,90,5
Leaf Storm,TM159,grass,special,130,90,5
Hyper Beam,TM163,normal,special,150,90,5
Solar Beam,TM168,grass,special,120,100,10
Tera Blast,TM171,normal,special,80,100,10
Roar,TM172,normal,other,--,101,20
High Horsepower,TM186,ground,physical,95,95,10
Grassy Glide,TM194,grass,physical,55,100,20
Double-Edge,TM204,normal,physical,120,100,15
Endeavor,TM205,normal,physical,??,100,5
Throat Chop,TM221,dark,physical,80,100,15
