name,source,type,category,power,accuracy,pp
Pound,nature,normal,physical,40,100,35
Confusion,nature,psychic,special,50,100,25
Tickle,nature,normal,other,--,100,20
Play Nice,nature,normal,other,--,101,20
Psybeam,lv. 12,psychic,special,65,100,20
Charm,lv. 16,fairy,other,--,100,20
Psyshock,lv. 20,psychic,special,80,100,10
Hypnosis,lv. 24,psychic,other,--,60,20
Fake Tears,lv. 28,dark,other,--,100,20
Psych Up,lv. 35,normal,other,--,101,10
Psychic,lv. 40,psychic,special,90,100,10
Flatter,lv. 48,dark,other,--,100,15
Future Sight,lv. 56,psychic,special,120,100,10
Magic Room,lv. 64,psychic,other,--,101,10
Charm,TM002,fairy,other,--,100,20
Fake Tears,TM003,dark,other,--,100,20
Protect,TM007,normal,other,--,101,10
Psybeam,TM016,psychic,special,65,100,20
Thief,TM018,dark,physical,60,100,25
Facade,TM025,normal,physical,70,100,20
Swift,TM032,normal,special,60,101,20
Rock Tomb,TM036,rock,physical,60,95,15
Low Sweep,TM039,fighting,physical,65,100,20
Stored Power,TM041,psychic,special,20,100,10
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Rain Dance,TM050,water,other,--,101,5
Psyshock,TM054,psychic,special,80,100,10
Brick Break,TM058,fighting,physical,75,100,15
Zen Headbutt,TM059,psychic,physical,80,90,15
Foul Play,TM062,dark,physical,95,100,15
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Reflect,TM074,psychic,other,--,101,20
Light Screen,TM075,psychic,other,--,101,30
Metronome,TM080,normal,other,--,101,10
Grass Knot,TM081,grass,special,??,100,20
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Taunt,TM087,dark,other,--,100,20
Imprison,TM092,psychic,other,--,101,10
Dark Pulse,TM094,dark,special,80,100,15
Skill Swap,TM098,psychic,other,--,101,10
Substitute,TM103,normal,other,--,101,10
Trick,TM109,psychic,other,--,100,10
Shadow Ball,TM114,ghost,special,80,100,15
Energy Ball,TM119,grass,special,90,100,10
Psychic,TM120,psychic,special,90,100,10
Thunderbolt,TM126,electric,special,90,100,15
Calm Mind,TM129,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Psychic Terrain,TM138,psychic,other,--,101,10
Nasty Plot,TM140,dark,other,--,101,20
Giga Impact,TM152,normal,physical,150,90,5
Focus Blast,TM158,fighting,special,120,70,5
Trick Room,TM161,psychic,other,--,101,5
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Gravity,TM178,psychic,other,--,101,5
Psych Up,TM203,normal,other,--,101,10
Future Sight,TM217,psychic,special,120,100,10
Expanding Force,TM218,psychic,special,80,100,10
Psychic Noise,TM228,psychic,special,75,100,10
