name,source,type,category,power,accuracy,pp
Covet,lv. Evolve,normal,physical,60,100,25
Tackle,nature,normal,physical,40,100,35
Tail Whip,nature,normal,other,--,100,30
Bite,nature,dark,physical,60,100,25
Stuff Cheeks,nature,normal,other,--,101,10
Stockpile,lv. 15,normal,other,--,101,20
Spit Up,lv. 15,normal,special,??,100,10
Swallow,lv. 15,normal,other,--,101,10
Body Slam,lv. 20,normal,physical,85,100,15
Rest,lv. 27,psychic,other,--,101,5
Counter,lv. 34,fighting,physical,??,100,20
Bullet Seed,lv. 41,grass,physical,25,100,30
Super Fang,lv. 48,normal,physical,??,90,10
Belch,lv. 55,poison,special,120,90,10
Take Down,TM001,normal,physical,90,85,20
Mud-Slap,TM005,ground,special,20,100,10
Protect,TM007,normal,other,--,101,10
Fire Fang,TM008,fire,physical,65,95,15
Thunder Fang,TM009,electric,physical,65,95,15
Ice Fang,TM010,ice,physical,65,95,15
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Mud Shot,TM035,ground,special,55,95,15
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Dig,TM055,ground,physical,80,100,10
Bullet Seed,TM056,grass,physical,25,100,30
Psychic Fangs,TM063,psychic,physical,85,100,10
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Swords Dance,TM088,normal,other,--,101,20
Body Press,TM089,fighting,physical,80,100,10
Substitute,TM103,normal,other,--,101,10
Crunch,TM108,dark,physical,80,100,15
Hyper Voice,TM117,normal,special,90,100,10
Amnesia,TM128,psychic,other,--,101,20
Wild Charge,TM147,electric,physical,90,100,15
Earthquake,TM149,ground,physical,100,100,10
Giga Impact,TM152,normal,physical,150,90,5
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Gyro Ball,TM180,steel,physical,??,100,5
Knock Off,TM181,dark,physical,65,100,20
Super Fang,TM183,normal,physical,??,90,10
High Horsepower,TM186,ground,physical,95,95,10
Double-Edge,TM204,normal,physical,120,100,15
Endeavor,TM205,normal,physical,??,100,5
Curse,TM224,ghost,other,--,101,10
