name,source,type,category,power,accuracy,pp
Leer,nature,normal,other,--,100,30
Ember,nature,fire,special,40,100,25
Howl,lv. 4,normal,other,--,101,40
Bite,lv. 8,dark,physical,60,100,25
Flame Wheel,lv. 12,fire,physical,60,100,25
Helping Hand,lv. 16,normal,other,--,101,20
Agility,lv. 20,psychic,other,--,101,30
Fire Fang,lv. 24,fire,physical,65,95,15
Retaliate,lv. 28,normal,physical,70,100,5
Crunch,lv. 32,dark,physical,80,100,15
Take Down,lv. 36,normal,physical,90,85,20
Flamethrower,lv. 40,fire,special,90,100,15
Roar,lv. 44,normal,other,--,101,20
Play Rough,lv. 48,fairy,physical,90,90,10
Reversal,lv. 52,fighting,physical,??,100,15
Flare Blitz,lv. 56,fire,physical,120,100,15
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Agility,TM004,psychic,other,--,101,30
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Fire Fang,TM008,fire,physical,65,95,15
Thunder Fang,TM009,electric,physical,65,95,15
Thief,TM018,dark,physical,60,100,25
Fire Spin,TM024,fire,special,35,85,15
Facade,TM025,normal,physical,70,100,20
Snarl,TM030,dark,special,55,95,15
Swift,TM032,normal,special,60,101,20
Rock Tomb,TM036,rock,physical,60,95,15
Flame Charge,TM038,fire,physical,50,100,20
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Sandstorm,TM051,rock,other,--,101,10
Smart Strike,TM053,steel,physical,70,101,10
Dig,TM055,ground,physical,80,100,10
Psychic Fangs,TM063,psychic,physical,85,100,10
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Rock Blast,TM076,rock,physical,25,90,10
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Power Gem,TM101,rock,special,80,100,20
Substitute,TM103,normal,other,--,101,10
Will-O-Wisp,TM107,fire,other,--,85,15
Crunch,TM108,dark,physical,80,100,15
Stealth Rock,TM116,rock,other,--,101,20
Heat Wave,TM118,fire,special,95,90,10
Flamethrower,TM125,fire,special,90,100,15
Play Rough,TM127,fairy,physical,90,90,10
Helping Hand,TM130,normal,other,--,101,20
Reversal,TM134,fighting,physical,??,100,15
Fire Blast,TM141,fire,special,110,85,5
Wild Charge,TM147,electric,physical,90,100,15
Stone Edge,TM150,rock,physical,100,80,5
Outrage,TM156,dragon,physical,120,100,10
Overheat,TM157,fire,special,130,90,5
Flare Blitz,TM165,fire,physical,120,100,15
Close Combat,TM167,fighting,physical,120,100,5
Tera Blast,TM171,normal,special,80,100,10
Roar,TM172,normal,other,--,101,20
Smack Down,TM179,rock,physical,50,100,15
Double-Edge,TM204,normal,physical,120,100,15
Temper Flare,TM207,fire,physical,75,100,10
Scorching Sands,TM215,ground,special,70,100,10
Curse,TM224,ghost,other,--,101,10
