name,source,type,category,power,accuracy,pp
Teeter Dance,lv. Evolve,normal,other,--,100,20
Psybeam,nature,psychic,special,65,100,20
Confusion,nature,psychic,special,50,100,25
Splash,nature,normal,other,--,101,40
Belch,nature,poison,special,120,90,10
Psych Up,lv. 18,normal,other,--,101,10
Confuse Ray,lv. 22,ghost,other,--,100,10
Zen Headbutt,lv. 26,psychic,physical,80,90,15
Power Gem,lv. 29,rock,special,80,100,20
Rest,lv. 35,psychic,other,--,101,5
Snore,lv. 35,normal,special,50,100,15
Psyshock,lv. 42,psychic,special,80,100,10
Payback,lv. 46,dark,physical,50,100,10
Psychic,lv. 52,psychic,special,90,100,10
Bounce,lv. 60,flying,physical,85,85,5
Take Down,TM001,normal,physical,90,85,20
Mud-Slap,TM005,ground,special,20,100,10
Protect,TM007,normal,other,--,101,10
Low Kick,TM012,fighting,physical,??,100,20
Psybeam,TM016,psychic,special,65,100,20
Confuse Ray,TM017,ghost,other,--,100,10
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Chilling Water,TM022,water,special,50,100,20
Charge Beam,TM023,electric,special,50,90,10
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Snarl,TM030,dark,special,55,95,15
Swift,TM032,normal,special,60,101,20
Icy Wind,TM034,ice,special,55,95,15
Mud Shot,TM035,ground,special,55,95,15
Low Sweep,TM039,fighting,physical,65,100,20
Stored Power,TM041,psychic,special,20,100,10
Night Shade,TM042,ghost,special,??,100,15
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Snowscape,TM052,ice,other,--,101,10
Psyshock,TM054,psychic,special,80,100,10
Dig,TM055,ground,physical,80,100,10
Brick Break,TM058,fighting,physical,75,100,15
Zen Headbutt,TM059,psychic,physical,80,90,15
Body Slam,TM066,normal,physical,85,100,15
Fire Punch,TM067,fire,physical,75,100,15
Thunder Punch,TM068,electric,physical,75,100,15
Ice Punch,TM069,ice,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Drain Punch,TM073,fighting,physical,75,100,10
Reflect,TM074,psychic,other,--,101,20
Light Screen,TM075,psychic,other,--,101,30
Dazzling Gleam,TM079,fairy,special,80,100,10
Metronome,TM080,normal,other,--,101,10
Grass Knot,TM081,grass,special,??,100,20
Thunder Wave,TM082,electric,other,--,90,20
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Body Press,TM089,fighting,physical,80,100,10
Imprison,TM092,psychic,other,--,101,10
Flash Cannon,TM093,steel,special,80,100,10
Skill Swap,TM098,psychic,other,--,101,10
Power Gem,TM101,rock,special,80,100,20
Substitute,TM103,normal,other,--,101,10
Trick,TM109,psychic,other,--,100,10
Shadow Ball,TM114,ghost,special,80,100,15
Hyper Voice,TM117,normal,special,90,100,10
Energy Ball,TM119,grass,special,90,100,10
Psychic,TM120,psychic,special,90,100,10
Encore,TM122,normal,other,--,100,5
Amnesia,TM128,psychic,other,--,101,20
Calm Mind,TM129,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Earth Power,TM133,ground,special,90,100,10
Psychic Terrain,TM138,psychic,other,--,101,10
Nasty Plot,TM140,dark,other,--,101,20
Giga Impact,TM152,normal,physical,150,90,5
Focus Blast,TM158,fighting,special,120,70,5
Trick Room,TM161,psychic,other,--,101,5
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Lunge,TM185,bug,physical,80,100,15
Uproar,TM191,normal,special,90,100,10
Focus Punch,TM192,fighting,physical,150,100,20
Psych Up,TM203,normal,other,--,101,10
Endeavor,TM205,normal,physical,??,100,5
Future Sight,TM217,psychic,special,120,100,10
Expanding Force,TM218,psychic,special,80,100,10
Psychic Noise,TM228,psychic,special,75,100,10
