name,source,type,category,power,accuracy,pp
Bite,lv. Evolve,dark,physical,60,100,25
Tackle,nature,normal,physical,40,100,35
Leer,nature,normal,other,--,100,30
Twister,nature,dragon,special,40,100,20
Splash,nature,normal,other,--,101,40
Flail,nature,normal,physical,??,100,15
Whirlpool,lv. 4,water,special,35,85,15
Ice Fang,lv. 8,ice,physical,65,95,15
Brine,lv. 12,water,special,65,100,10
Scary Face,lv. 16,normal,other,--,100,10
Waterfall,lv. 21,water,physical,80,100,15
Crunch,lv. 24,dark,physical,80,100,15
Rain Dance,lv. 28,water,other,--,101,5
Aqua Tail,lv. 32,water,physical,90,90,10
Dragon Dance,lv. 36,dragon,other,--,101,20
Hydro Pump,lv. 40,water,special,110,80,5
Hurricane,lv. 44,flying,special,110,70,10
Thrash,lv. 48,normal,physical,120,100,10
Hyper Beam,lv. 52,normal,special,150,90,5
Take Down,TM001,normal,physical,90,85,20
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Ice Fang,TM010,ice,physical,65,95,15
Water Pulse,TM011,water,special,60,100,20
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Icy Wind,TM034,ice,special,55,95,15
Dragon Tail,TM044,dragon,physical,60,90,10
Avalanche,TM046,ice,physical,60,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Sandstorm,TM051,rock,other,--,101,10
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Waterfall,TM077,water,physical,80,100,15
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Dark Pulse,TM094,dark,special,80,100,15
Iron Head,TM099,steel,physical,80,100,15
Dragon Dance,TM100,dragon,other,--,101,20
Substitute,TM103,normal,other,--,101,10
Crunch,TM108,dark,physical,80,100,15
Dragon Pulse,TM115,dragon,special,85,100,10
Surf,TM123,water,special,90,100,15
Flamethrower,TM125,fire,special,90,100,15
Thunderbolt,TM126,electric,special,90,100,15
Helping Hand,TM130,normal,other,--,101,20
Ice Beam,TM135,ice,special,90,100,10
Fire Blast,TM141,fire,special,110,85,5
Hydro Pump,TM142,water,special,110,80,5
Blizzard,TM143,ice,special,110,70,5
Earthquake,TM149,ground,physical,100,100,10
Stone Edge,TM150,rock,physical,100,80,5
Giga Impact,TM152,normal,physical,150,90,5
Outrage,TM156,dragon,physical,120,100,10
Hurricane,TM160,flying,special,110,70,10
Hyper Beam,TM163,normal,special,150,90,5
Thunder,TM166,electric,special,110,70,10
Tera Blast,TM171,normal,special,80,100,10
Roar,TM172,normal,other,--,101,20
Spite,TM177,ghost,other,--,100,10
Scald,TM188,water,special,80,100,15
Lash Out,TM199,dark,physical,75,100,5
Scale Shot,TM200,dragon,physical,25,90,20
Double-Edge,TM204,normal,physical,120,100,15
Endeavor,TM205,normal,physical,??,100,5
Temper Flare,TM207,fire,physical,75,100,10
Whirlpool,TM208,water,special,35,85,15
Muddy Water,TM209,water,special,90,85,10
Dragon Cheer,TM226,dragon,other,--,101,15
