name,source,type,category,power,accuracy,pp
Pound,nature,normal,physical,40,100,35
Copycat,nature,normal,other,--,101,20
Defense Curl,lv. 4,normal,other,--,101,40
Sweet Kiss,lv. 8,fairy,other,--,75,10
Disarming Voice,lv. 12,fairy,special,40,101,15
Covet,lv. 16,normal,physical,60,100,25
Charm,lv. 20,fairy,other,--,100,20
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Protect,TM007,normal,other,--,101,10
Disarming Voice,TM019,fairy,special,40,101,15
Facade,TM025,normal,physical,70,100,20
Icy Wind,TM034,ice,special,55,95,15
Stored Power,TM041,psychic,special,20,100,10
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Snowscape,TM052,ice,other,--,101,10
Zen Headbutt,TM059,psychic,physical,80,90,15
Sleep Talk,TM070,normal,other,--,101,10
Light Screen,TM075,psychic,other,--,101,30
Metronome,TM080,normal,other,--,101,10
Grass Knot,TM081,grass,special,??,100,20
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Substitute,TM103,normal,other,--,101,10
Shadow Ball,TM114,ghost,special,80,100,15
Hyper Voice,TM117,normal,special,90,100,10
Psychic,TM120,psychic,special,90,100,10
Helping Hand,TM130,normal,other,--,101,20
Solar Beam,TM168,grass,special,120,100,10
Tera Blast,TM171,normal,special,80,100,10
Gravity,TM178,psychic,other,--,101,5
