name,source,type,category,power,accuracy,pp
Sand Attack,nature,ground,other,--,100,15
Tackle,nature,normal,physical,40,100,35
Focus Energy,nature,normal,other,--,101,30
Brine,nature,water,special,65,100,10
Arm Thrust,nature,fighting,physical,15,100,20
Fake Out,lv. 10,normal,physical,40,100,10
Force Palm,lv. 13,fighting,physical,60,100,10
Whirlwind,lv. 16,normal,other,--,101,20
Knock Off,lv. 19,dark,physical,65,100,20
Bulk Up,lv. 22,fighting,other,--,101,20
Belly Drum,lv. 26,normal,other,--,101,10
Detect,lv. 30,fighting,other,--,101,5
Seismic Toss,lv. 34,fighting,physical,??,100,20
Focus Punch,lv. 38,fighting,physical,150,100,20
Endure,lv. 42,normal,other,--,101,10
Close Combat,lv. 46,fighting,physical,120,100,5
Reversal,lv. 50,fighting,physical,??,100,15
Heavy Slam,lv. 54,steel,physical,??,100,10
Headlong Rush,lv. 60,ground,physical,120,100,5
Take Down,TM001,normal,physical,90,85,20
Mud-Slap,TM005,ground,special,20,100,10
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Low Kick,TM012,fighting,physical,??,100,20
Thief,TM018,dark,physical,60,100,25
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Swift,TM032,normal,special,60,101,20
Mud Shot,TM035,ground,special,55,95,15
Rock Tomb,TM036,rock,physical,60,95,15
Low Sweep,TM039,fighting,physical,65,100,20
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Dig,TM055,ground,physical,80,100,10
Brick Break,TM058,fighting,physical,75,100,15
Zen Headbutt,TM059,psychic,physical,80,90,15
Bulk Up,TM064,fighting,other,--,101,20
Body Slam,TM066,normal,physical,85,100,15
Fire Punch,TM067,fire,physical,75,100,15
Thunder Punch,TM068,electric,physical,75,100,15
Ice Punch,TM069,ice,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Drain Punch,TM073,fighting,physical,75,100,10
Metronome,TM080,normal,other,--,101,10
Poison Jab,TM083,poison,physical,80,100,20
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Taunt,TM087,dark,other,--,100,20
Body Press,TM089,fighting,physical,80,100,10
Iron Head,TM099,steel,physical,80,100,15
Substitute,TM103,normal,other,--,101,10
Heavy Slam,TM121,steel,physical,??,100,10
Surf,TM123,water,special,90,100,15
Helping Hand,TM130,normal,other,--,101,20
Reversal,TM134,fighting,physical,??,100,15
Earthquake,TM149,ground,physical,100,100,10
Stone Edge,TM150,rock,physical,100,80,5
Giga Impact,TM152,normal,physical,150,90,5
Focus Blast,TM158,fighting,special,120,70,5
Hyper Beam,TM163,normal,special,150,90,5
Close Combat,TM167,fighting,physical,120,100,5
Tera Blast,TM171,normal,special,80,100,10
Smack Down,TM179,rock,physical,50,100,15
Knock Off,TM181,dark,physical,65,100,20
Vacuum Wave,TM184,fighting,special,40,100,30
Focus Punch,TM192,fighting,physical,150,100,20
Lash Out,TM199,dark,physical,75,100,5
Double-Edge,TM204,normal,physical,120,100,15
Coaching,TM213,fighting,other,--,101,10
Throat Chop,TM221,dark,physical,80,100,15
Curse,TM224,ghost,other,--,101,10
Upper Hand,TM229,fighting,physical,65,100,15
