name,source,type,category,power,accuracy,pp
Brutal Swing,lv. Evolve,dark,physical,60,100,20
Confusion,nature,psychic,special,50,100,25
Disarming Voice,nature,fairy,special,40,101,15
Play Nice,nature,normal,other,--,101,20
Life Dew,nature,water,other,--,101,10
Aromatic Mist,lv. 15,fairy,other,--,101,20
Psybeam,lv. 20,psychic,special,65,100,20
Heal Pulse,lv. 25,psychic,other,--,101,10
Dazzling Gleam,lv. 30,fairy,special,80,100,10
Calm Mind,lv. 37,psychic,other,--,101,20
Psychic,lv. 44,psychic,special,90,100,10
Healing Wish,lv. 51,psychic,other,--,101,10
Charm,TM002,fairy,other,--,100,20
Protect,TM007,normal,other,--,101,10
Psybeam,TM016,psychic,special,65,100,20
Disarming Voice,TM019,fairy,special,40,101,15
Facade,TM025,normal,physical,70,100,20
Swift,TM032,normal,special,60,101,20
Magical Leaf,TM033,grass,special,60,101,20
Draining Kiss,TM037,fairy,special,50,100,10
Stored Power,TM041,psychic,special,20,100,10
Endure,TM047,normal,other,--,101,10
Psyshock,TM054,psychic,special,80,100,10
Sleep Talk,TM070,normal,other,--,101,10
Reflect,TM074,psychic,other,--,101,20
Light Screen,TM075,psychic,other,--,101,30
Dazzling Gleam,TM079,fairy,special,80,100,10
Metronome,TM080,normal,other,--,101,10
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Imprison,TM092,psychic,other,--,101,10
Dark Pulse,TM094,dark,special,80,100,15
Skill Swap,TM098,psychic,other,--,101,10
Substitute,TM103,normal,other,--,101,10
Trick,TM109,psychic,other,--,100,10
Giga Drain,TM111,grass,special,75,100,10
Psychic,TM120,psychic,special,90,100,10
Play Rough,TM127,fairy,physical,90,90,10
Calm Mind,TM129,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Baton Pass,TM132,normal,other,--,101,40
Psychic Terrain,TM138,psychic,other,--,101,10
Misty Terrain,TM139,fairy,other,--,101,10
Trick Room,TM161,psychic,other,--,101,5
Tera Blast,TM171,normal,special,80,100,10
Psych Up,TM203,normal,other,--,101,10
Future Sight,TM217,psychic,special,120,100,10
Expanding Force,TM218,psychic,special,80,100,10
