name,source,type,category,power,accuracy,pp
Tackle,nature,normal,physical,40,100,35
Hone Claws,nature,dark,other,--,101,15
Wing Attack,lv. 4,flying,physical,60,100,35
Detect,lv. 8,fighting,other,--,101,5
Aerial Ace,lv. 12,flying,physical,60,101,20
Encore,lv. 16,normal,other,--,100,5
Feather Dance,lv. 20,flying,other,--,100,15
Brick Break,lv. 24,fighting,physical,75,100,15
Bounce,lv. 28,flying,physical,85,85,5
Taunt,lv. 32,dark,other,--,100,20
Roost,lv. 36,flying,other,--,101,5
Swords Dance,lv. 40,normal,other,--,101,20
Flying Press,lv. 44,fighting,physical,100,95,10
High Jump Kick,lv. 48,fighting,physical,130,90,10
Endeavor,lv. 52,normal,physical,??,100,5
Sky Attack,lv. 56,flying,physical,140,90,5
Take Down,TM001,normal,physical,90,85,20
Agility,TM004,psychic,other,--,101,30
Protect,TM007,normal,other,--,101,10
Low Kick,TM012,fighting,physical,??,100,20
Acrobatics,TM014,flying,physical,55,100,15
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Swift,TM032,normal,special,60,101,20
Rock Tomb,TM036,rock,physical,60,95,15
Low Sweep,TM039,fighting,physical,65,100,20
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Dig,TM055,ground,physical,80,100,10
False Swipe,TM057,normal,physical,40,100,40
Brick Break,TM058,fighting,physical,75,100,15
Zen Headbutt,TM059,psychic,physical,80,90,15
U-turn,TM060,bug,physical,70,100,20
Bulk Up,TM064,fighting,other,--,101,20
Body Slam,TM066,normal,physical,85,100,15
Fire Punch,TM067,fire,physical,75,100,15
Thunder Punch,TM068,electric,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Drain Punch,TM073,fighting,physical,75,100,10
Grass Knot,TM081,grass,special,??,100,20
Poison Jab,TM083,poison,physical,80,100,20
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Taunt,TM087,dark,other,--,100,20
Swords Dance,TM088,normal,other,--,101,20
Body Press,TM089,fighting,physical,80,100,10
Fly,TM097,flying,physical,90,95,15
Iron Head,TM099,steel,physical,80,100,15
Substitute,TM103,normal,other,--,101,10
X-Scissor,TM105,bug,physical,80,100,15
Encore,TM122,normal,other,--,100,5
Helping Hand,TM130,normal,other,--,101,20
Baton Pass,TM132,normal,other,--,101,40
Reversal,TM134,fighting,physical,??,100,15
Stone Edge,TM150,rock,physical,100,80,5
Giga Impact,TM152,normal,physical,150,90,5
Focus Blast,TM158,fighting,special,120,70,5
Hyper Beam,TM163,normal,special,150,90,5
Brave Bird,TM164,flying,physical,120,100,15
Close Combat,TM167,fighting,physical,120,100,5
Tera Blast,TM171,normal,special,80,100,10
Lunge,TM185,bug,physical,80,100,15
Uproar,TM191,normal,special,90,100,10
Focus Punch,TM192,fighting,physical,150,100,20
Dual Wingbeat,TM197,flying,physical,40,90,10
Endeavor,TM205,normal,physical,??,100,5
Coaching,TM213,fighting,other,--,101,10
Feather Dance,TM216,flying,other,--,100,15
Throat Chop,TM221,dark,physical,80,100,15
Upper Hand,TM229,fighting,physical,65,100,15
