name,source,type,category,power,accuracy,pp
Tackle,nature,normal,physical,40,100,35
Leer,nature,normal,other,--,100,30
Arm Thrust,nature,fighting,physical,15,100,20
Fury Attack,lv. 5,normal,physical,15,85,20
Endure,lv. 10,normal,other,--,101,10
Aerial Ace,lv. 15,flying,physical,60,101,20
Horn Attack,lv. 20,normal,physical,65,100,25
Counter,lv. 25,fighting,physical,??,100,20
Brick Break,lv. 30,fighting,physical,75,100,15
Pin Missile,lv. 35,bug,physical,25,95,20
Throat Chop,lv. 40,dark,physical,80,100,15
Thrash,lv. 45,normal,physical,120,100,10
Swords Dance,lv. 50,normal,other,--,101,20
Megahorn,lv. 55,bug,physical,120,85,10
Close Combat,lv. 60,fighting,physical,120,100,5
Take Down,TM001,normal,physical,90,85,20
Protect,TM007,normal,other,--,101,10
Low Kick,TM012,fighting,physical,??,100,20
Struggle Bug,TM015,bug,special,50,100,20
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Pounce,TM021,bug,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Bulldoze,TM028,ground,physical,60,100,20
Rock Tomb,TM036,rock,physical,60,95,15
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Smart Strike,TM053,steel,physical,70,101,10
Dig,TM055,ground,physical,80,100,10
Bullet Seed,TM056,grass,physical,25,100,30
False Swipe,TM057,normal,physical,40,100,40
Brick Break,TM058,fighting,physical,75,100,15
Shadow Claw,TM061,ghost,physical,70,100,15
Bulk Up,TM064,fighting,other,--,101,20
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Rock Blast,TM076,rock,physical,25,90,10
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Swords Dance,TM088,normal,other,--,101,20
Spikes,TM090,ground,other,--,101,20
Substitute,TM103,normal,other,--,101,10
Iron Defense,TM104,steel,other,--,101,15
Helping Hand,TM130,normal,other,--,101,20
Reversal,TM134,fighting,physical,??,100,15
Earthquake,TM149,ground,physical,100,100,10
Stone Edge,TM150,rock,physical,100,80,5
Giga Impact,TM152,normal,physical,150,90,5
Focus Blast,TM158,fighting,special,120,70,5
Bug Buzz,TM162,bug,special,90,100,10
Hyper Beam,TM163,normal,special,150,90,5
Close Combat,TM167,fighting,physical,120,100,5
Tera Blast,TM171,normal,special,80,100,10
Smack Down,TM179,rock,physical,50,100,15
Knock Off,TM181,dark,physical,65,100,20
Bug Bite,TM182,bug,physical,60,100,20
Vacuum Wave,TM184,fighting,special,40,100,30
Lunge,TM185,bug,physical,80,100,15
High Horsepower,TM186,ground,physical,95,95,10
Focus Punch,TM192,fighting,physical,150,100,20
Double-Edge,TM204,normal,physical,120,100,15
Endeavor,TM205,normal,physical,??,100,5
Coaching,TM213,fighting,other,--,101,10
Skitter Smack,TM219,bug,physical,70,90,10
Throat Chop,TM221,dark,physical,80,100,15
Curse,TM224,ghost,other,--,101,10
Upper Hand,TM229,fighting,physical,65,100,15
