name,source,type,category,power,accuracy,pp
Sand Attack,nature,ground,other,--,100,15
Tackle,nature,normal,physical,40,100,35
Bite,lv. 4,dark,physical,60,100,25
Yawn,lv. 8,normal,other,--,101,10
Sand Tomb,lv. 12,ground,physical,35,85,15
Dig,lv. 16,ground,physical,80,100,10
Crunch,lv. 20,dark,physical,80,100,15
Sandstorm,lv. 24,rock,other,--,101,10
Take Down,lv. 28,normal,physical,90,85,20
Roar,lv. 32,normal,other,--,101,20
Rest,lv. 36,psychic,other,--,101,5
Earthquake,lv. 40,ground,physical,100,100,10
Double-Edge,lv. 44,normal,physical,120,100,15
Fissure,lv. 48,ground,physical,??,30,5
Slack Off,lv. 52,normal,other,--,101,5
Take Down,TM001,normal,physical,90,85,20
Mud-Slap,TM005,ground,special,20,100,10
Protect,TM007,normal,other,--,101,10
Fire Fang,TM008,fire,physical,65,95,15
Thunder Fang,TM009,electric,physical,65,95,15
Ice Fang,TM010,ice,physical,65,95,15
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Mud Shot,TM035,ground,special,55,95,15
Rock Tomb,TM036,rock,physical,60,95,15
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Sandstorm,TM051,rock,other,--,101,10
Dig,TM055,ground,physical,80,100,10
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Body Press,TM089,fighting,physical,80,100,10
Substitute,TM103,normal,other,--,101,10
Crunch,TM108,dark,physical,80,100,15
Stealth Rock,TM116,rock,other,--,101,20
Amnesia,TM128,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Earth Power,TM133,ground,special,90,100,10
Earthquake,TM149,ground,physical,100,100,10
Stone Edge,TM150,rock,physical,100,80,5
Tera Blast,TM171,normal,special,80,100,10
Roar,TM172,normal,other,--,101,20
Sand Tomb,TM176,ground,physical,35,85,15
High Horsepower,TM186,ground,physical,95,95,10
Double-Edge,TM204,normal,physical,120,100,15
Muddy Water,TM209,water,special,90,85,10
Scorching Sands,TM215,ground,special,70,100,10
Curse,TM224,ghost,other,--,101,10
