name,source,type,category,power,accuracy,pp
Leer,nature,normal,other,--,100,30
Ember,nature,fire,special,40,100,25
Smog,nature,poison,special,30,70,20
Thunder Fang,nature,electric,physical,65,95,15
Howl,nature,normal,other,--,101,40
Nasty Plot,nature,dark,other,--,101,20
Roar,lv. 13,normal,other,--,101,20
Bite,lv. 16,dark,physical,60,100,25
Incinerate,lv. 20,fire,special,60,100,15
Beat Up,lv. 26,dark,physical,??,100,10
Fire Fang,lv. 30,fire,physical,65,95,15
Torment,lv. 35,dark,other,--,100,15
Comeuppance,lv. 41,dark,physical,??,100,10
Foul Play,lv. 45,dark,physical,95,100,15
Flamethrower,lv. 50,fire,special,90,100,15
Crunch,lv. 56,dark,physical,80,100,15
Inferno,lv. 62,fire,special,100,50,5
Take Down,TM001,normal,physical,90,85,20
Mud-Slap,TM005,ground,special,20,100,10
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Fire Fang,TM008,fire,physical,65,95,15
Thunder Fang,TM009,electric,physical,65,95,15
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Fire Spin,TM024,fire,special,35,85,15
Facade,TM025,normal,physical,70,100,20
Snarl,TM030,dark,special,55,95,15
Mud Shot,TM035,ground,special,55,95,15
Flame Charge,TM038,fire,physical,50,100,20
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Foul Play,TM062,dark,physical,95,100,15
Psychic Fangs,TM063,psychic,physical,85,100,10
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Dark Pulse,TM094,dark,special,80,100,15
Substitute,TM103,normal,other,--,101,10
Will-O-Wisp,TM107,fire,other,--,85,15
Crunch,TM108,dark,physical,80,100,15
Shadow Ball,TM114,ghost,special,80,100,15
Hyper Voice,TM117,normal,special,90,100,10
Heat Wave,TM118,fire,special,95,90,10
Flamethrower,TM125,fire,special,90,100,15
Helping Hand,TM130,normal,other,--,101,20
Reversal,TM134,fighting,physical,??,100,15
Nasty Plot,TM140,dark,other,--,101,20
Fire Blast,TM141,fire,special,110,85,5
Sludge Bomb,TM148,poison,special,90,100,10
Giga Impact,TM152,normal,physical,150,90,5
Overheat,TM157,fire,special,130,90,5
Hyper Beam,TM163,normal,special,150,90,5
Flare Blitz,TM165,fire,physical,120,100,15
Solar Beam,TM168,grass,special,120,100,10
Tera Blast,TM171,normal,special,80,100,10
Roar,TM172,normal,other,--,101,20
Toxic,TM175,poison,other,--,90,10
Spite,TM177,ghost,other,--,100,10
Super Fang,TM183,normal,physical,??,90,10
Burning Jealousy,TM195,fire,special,70,100,5
Lash Out,TM199,dark,physical,75,100,5
Pain Split,TM202,normal,other,--,101,20
Double-Edge,TM204,normal,physical,120,100,15
Endeavor,TM205,normal,physical,??,100,5
Temper Flare,TM207,fire,physical,75,100,10
Throat Chop,TM221,dark,physical,80,100,15
